" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1,金州勇士,2017-10-17,负,主,火箭122-121勇士,53.8%,43,80,53.3%,16,30,90.5%,19,21,41,6,35,34,5,9,17,25,121
2,金州勇士,2017-10-20,胜,客,鹈鹕120-128勇士,51.6%,47,91,45.0%,18,40,80.0%,16,20,49,10,39,31,5,8,18,23,128
3,金州勇士,2017-10-21,负,客,灰熊111-101勇士,39.3%,33,84,31.6%,12,38,85.2%,23,27,46,12,34,20,10,7,17,28,101
4,金州勇士,2017-10-23,胜,客,独行侠103-133勇士,55.8%,48,86,38.5%,15,39,84.6%,22,26,50,10,40,33,6,8,16,23,133
5,金州勇士,2017-10-25,胜,主,猛龙112-117勇士,55.8%,43,77,46.2%,12,26,86.4%,19,22,37,6,31,32,10,7,17,15,117
6,金州勇士,2017-10-27,胜,主,奇才117-120勇士,48.4%,46,95,26.3%,10,38,90.0%,18,20,53,15,38,33,7,13,17,20,120
7,金州勇士,2017-10-29,负,主,活塞115-107勇士,57.1%,44,77,37.0%,10,27,75.0%,9,12,40,10,30,29,3,11,25,14,107
8,金州勇士,2017-10-30,胜,客,快船113-141勇士,58.4%,52,89,48.3%,14,29,76.7%,23,30,46,14,32,37,8,8,12,23,141
9,金州勇士,2017-11-02,胜,客,马刺92-112勇士,51.8%,43,83,50.0%,14,28,75.0%,12,16,40,4,36,30,11,11,14,20,112
10,金州勇士,2017-11-04,胜,客,掘金108-127勇士,54.9%,50,91,45.0%,18,40,52.9%,9,17,41,7,34,38,13,4,13,23,127
11,金州勇士,2017-11-06,胜,主,热火80-97勇士,36.8%,32,87,34.4%,11,32,91.7%,22,24,51,13,38,20,12,10,14,21,97
12,金州勇士,2017-11-08,胜,主,森林狼101-125勇士,56.5%,48,85,41.7%,15,36,77.8%,14,18,45,3,42,37,10,9,19,23,125
13,金州勇士,2017-11-11,胜,主," 76人114-135勇士",58.5%,48,82,51.9%,14,27,96.2%,25,26,39,4,35,31,15,11,23,23,135
