" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
151,迈阿密热火,2018-02-13,负,客,猛龙115-112热火,48.8%,42,86,41.4%,12,29,84.2%,16,19,51,10,41,24,5,3,16,18,112
152,迈阿密热火,2018-02-14,负,客," 76人104-102热火",45.5%,35,77,40.7%,11,27,72.4%,21,29,29,3,26,23,9,5,10,21,102
153,迈阿密热火,2018-02-23,负,客,鹈鹕124-123热火,46.3%,50,108,33.3%,6,18,65.4%,17,26,58,13,45,26,12,5,13,23,123
154,迈阿密热火,2018-02-24,胜,主,灰熊89-115热火,46.1%,41,89,36.4%,12,33,77.8%,21,27,50,14,36,27,15,6,10,17,115
155,迈阿密热火,2018-02-27,胜,主," 76人101-102热火",44.4%,36,81,33.3%,9,27,75.0%,21,28,37,11,26,19,12,9,16,19,102
156,迈阿密热火,2018-03-01,负,主,湖人131-113热火,48.4%,46,95,29.0%,9,31,75.0%,12,16,40,14,26,23,6,5,11,21,113
157,迈阿密热火,2018-03-03,胜,主,活塞96-105热火,45.1%,37,82,41.4%,12,29,67.9%,19,28,45,15,30,19,11,5,13,20,105
158,迈阿密热火,2018-03-05,胜,主,太阳103-125热火,51.1%,47,92,33.3%,12,36,82.6%,19,23,51,16,35,33,12,6,10,14,125
159,迈阿密热火,2018-03-06,负,客,奇才117-113热火,45.2%,42,93,27.3%,9,33,74.1%,20,27,41,13,28,26,11,2,14,24,113
160,迈阿密热火,2018-03-08,胜,主," 76人99-108热火",47.2%,42,89,53.8%,14,26,55.6%,10,18,49,6,43,26,10,8,14,20,108
161,迈阿密热火,2018-03-10,胜,主,奇才102-129热火,59.1%,52,88,35.7%,10,28,71.4%,15,21,42,5,37,27,9,5,10,25,129
162,迈阿密热火,2018-03-12,负,客,开拓者115-99热火,42.9%,39,91,32.3%,10,31,68.8%,11,16,46,10,36,24,6,4,11,24,99
163,迈阿密热火,2018-03-14,负,客,国王123-119热火,41.4%,41,99,41.9%,18,43,90.5%,19,21,53,15,38,26,5,2,14,23,119
164,迈阿密热火,2018-03-16,胜,客,湖人91-92热火,38.3%,36,94,27.8%,10,36,71.4%,10,14,43,12,31,23,14,6,11,18,92
165,迈阿密热火,2018-03-19,胜,主,掘金141-149热火,54.9%,56,102,55.6%,20,36,63.0%,17,27,46,7,39,36,5,11,11,26,149
166,迈阿密热火,2018-03-21,胜,主,尼克斯98-119热火,55.6%,45,81,44.1%,15,34,73.7%,14,19,32,5,27,31,9,2,7,17,119
167,迈阿密热火,2018-03-23,负,客,雷霆105-99热火,39.1%,34,87,43.3%,13,30,90.0%,18,20,41,8,33,22,4,1,10,25,99
168,迈阿密热火,2018-03-25,负,客,步行者113-107热火,47.7%,41,86,40.0%,14,35,78.6%,11,14,39,7,32,32,10,3,17,20,107
169,迈阿密热火,2018-03-27,胜,主,骑士79-98热火,47.4%,37,78,31.0%,9,29,75.0%,15,20,44,9,35,24,10,9,14,18,98
170,迈阿密热火,2018-03-29,胜,主,公牛92-103热火,45.1%,37,82,25.9%,7,27,91.7%,22,24,44,7,37,20,7,7,17,23,103
171,迈阿密热火,2018-03-31,负,主,篮网110-109热火,45.3%,43,95,41.2%,7,17,76.2%,16,21,51,10,41,19,6,7,18,22,109
172,迈阿密热火,2018-04-03,胜,主,老鹰98-101热火,45.1%,41,91,24.2%,8,33,84.6%,11,13,46,11,35,22,10,8,14,16,101
173,迈阿密热火,2018-04-04,胜,客,老鹰86-115热火,44.7%,42,94,44.7%,17,38,82.4%,14,17,54,10,44,23,9,10,11,17,115
174,迈阿密热火,2018-04-06,负,客,尼克斯122-98热火,39.8%,35,88,25.9%,7,27,95.5%,21,22,42,7,35,20,7,5,13,19,98
175,迈阿密热火,2018-04-09,负,主,雷霆115-93热火,46.0%,40,87,22.7%,5,22,57.1%,8,14,43,8,35,21,6,4,15,24,93
176,迈阿密热火,2018-04-11,胜,主,猛龙109-116热火,43.4%,46,106,42.3%,11,26,65.0%,13,20,56,19,37,26,8,7,9,18,116
177,迈阿密热火,2018-04-14,负,客," 76人130-103热火",44.9%,35,78,46.2%,12,26,67.7%,21,31,42,10,32,25,4,6,16,25,103
178,迈阿密热火,2018-04-16,胜,客," 76人103-113热火",48.8%,40,82,36.0%,9,25,80.0%,24,30,46,11,35,23,8,7,15,27,113
179,迈阿密热火,2018-04-19,负,主," 76人128-108热火",45.2%,33,73,48.5%,16,33,74.3%,26,35,35,5,30,26,7,9,15,30,108
180,迈阿密热火,2018-04-21,负,主," 76人106-102热火",43.6%,41,94,36.8%,7,19,52.0%,13,25,43,13,30,21,18,4,19,32,102
181,迈阿密热火,2018-04-24,负,客," 76人104-91热火",38.6%,34,88,28.6%,10,35,59.1%,13,22,40,10,30,24,7,6,11,32,91
182,达拉斯独行侠,2018-01-29,负,主,热火95-88独行侠,38.4%,33,86,27.6%,8,29,87.5%,14,16,40,11,29,20,10,3,12,22,88
183,达拉斯独行侠,2018-01-31,负,客,太阳102-88独行侠,36.4%,32,88,27.8%,10,36,53.8%,14,26,49,15,34,18,11,4,12,18,88
184,达拉斯独行侠,2018-02-03,胜,客,国王99-106独行侠,49.4%,41,83,31.7%,13,41,78.6%,11,14,37,10,27,28,8,0,14,12,106
185,达拉斯独行侠,2018-02-05,负,客,快船104-101独行侠,41.3%,33,80,40.5%,17,42,90.0%,18,20,38,7,31,22,5,5,20,23,101
186,达拉斯独行侠,2018-02-08,负,客,勇士121-103独行侠,43.0%,40,93,24.3%,9,37,82.4%,14,17,35,10,25,19,15,7,10,16,103
187,达拉斯独行侠,2018-02-10,胜,主,湖人123-130独行侠,53.9%,48,89,44.4%,12,27,81.5%,22,27,40,10,30,32,8,3,9,21,130
188,达拉斯独行侠,2018-02-11,负,客,火箭104-97独行侠,40.9%,38,93,32.3%,10,31,68.8%,11,16,52,12,40,26,6,4,14,25,97
189,达拉斯独行侠,2018-02-13,负,主,国王114-109独行侠,45.8%,38,83,37.5%,15,40,78.3%,18,23,37,4,33,29,4,4,9,15,109
190,达拉斯独行侠,2018-02-23,负,客,湖人124-102独行侠,40.7%,37,91,45.2%,19,42,81.8%,9,11,29,3,26,25,9,8,11,19,102
191,达拉斯独行侠,2018-02-24,负,客,爵士97-90独行侠,41.0%,34,83,28.6%,10,35,85.7%,12,14,44,5,39,19,6,4,15,23,90
192,达拉斯独行侠,2018-02-26,胜,主,步行者103-109独行侠,45.5%,40,88,37.8%,14,37,83.3%,15,18,44,7,37,20,9,3,10,21,109
193,达拉斯独行侠,2018-02-28,负,主,雷霆111-110独行侠,48.4%,44,91,36.1%,13,36,60.0%,9,15,36,8,28,30,11,1,16,22,110
194,达拉斯独行侠,2018-03-02,负,客,公牛108-100独行侠,41.7%,35,84,44.8%,13,29,81.0%,17,21,45,12,33,21,6,4,16,15,100
195,达拉斯独行侠,2018-03-04,负,主,鹈鹕126-109独行侠,44.4%,40,90,43.5%,10,23,76.0%,19,25,43,10,33,25,5,2,12,20,109
196,达拉斯独行侠,2018-03-06,胜,主,掘金107-118独行侠,47.8%,43,90,55.6%,15,27,73.9%,17,23,51,9,42,24,8,3,15,20,118
197,达拉斯独行侠,2018-03-10,胜,主,灰熊80-114独行侠,48.1%,37,77,34.5%,10,29,85.7%,30,35,52,9,43,21,8,3,10,18,114
198,达拉斯独行侠,2018-03-11,负,主,火箭105-82独行侠,35.1%,33,94,16.1%,5,31,61.1%,11,18,53,17,36,27,5,2,10,18,82
199,达拉斯独行侠,2018-03-13,胜,客,尼克斯97-110独行侠,44.9%,40,89,40.0%,14,35,88.9%,16,18,40,12,28,22,11,1,12,15,110
200,达拉斯独行侠,2018-03-16,负,客,猛龙122-115独行侠,52.7%,48,91,27.3%,6,22,72.2%,13,18,36,6,30,25,7,5,10,27,115
201,达拉斯独行侠,2018-03-17,负,客,篮网114-106独行侠,44.6%,41,92,54.5%,12,22,85.7%,12,14,45,13,32,25,5,3,10,21,106
202,达拉斯独行侠,2018-03-20,负,客,鹈鹕115-105独行侠,47.8%,43,90,28.6%,10,35,81.8%,9,11,40,9,31,25,4,2,8,14,105
203,达拉斯独行侠,2018-03-22,负,主,爵士119-112独行侠,49.4%,42,85,53.1%,17,32,78.6%,11,14,35,8,27,22,5,7,14,16,112
204,达拉斯独行侠,2018-03-24,负,主,黄蜂102-98独行侠,39.6%,36,91,29.3%,12,41,73.7%,14,19,52,5,47,22,10,6,12,22,98
205,达拉斯独行侠,2018-03-27,胜,客,国王97-103独行侠,45.0%,36,80,35.0%,14,40,68.0%,17,25,43,4,39,25,7,9,10,17,103
206,达拉斯独行侠,2018-03-28,负,客,湖人103-93独行侠,39.3%,33,84,29.5%,13,44,73.7%,14,19,40,6,34,17,10,1,10,22,93
207,达拉斯独行侠,2018-03-30,负,主,森林狼93-92独行侠,44.7%,38,85,39.3%,11,28,71.4%,5,7,46,6,40,22,5,5,14,17,92
208,达拉斯独行侠,2018-04-01,负,客,骑士98-87独行侠,40.0%,32,80,35.1%,13,37,90.9%,10,11,38,4,34,15,5,3,15,20,87
209,达拉斯独行侠,2018-04-03,胜,主,开拓者109-115独行侠,45.7%,42,92,38.6%,17,44,70.0%,14,20,43,8,35,27,8,5,7,16,115
210,达拉斯独行侠,2018-04-04,负,客,魔术105-100独行侠,43.8%,39,89,33.3%,10,30,70.6%,12,17,43,11,32,24,3,1,11,23,100
211,达拉斯独行侠,2018-04-06,负,客,活塞113-106独行侠,43.5%,40,92,33.3%,13,39,72.2%,13,18,46,10,36,26,7,5,12,20,106
212,达拉斯独行侠,2018-04-08,负,客," 76人109-97独行侠",42.6%,40,94,27.5%,11,40,46.2%,6,13,43,10,33,24,6,6,11,9,97
213,达拉斯独行侠,2018-04-10,负,主,太阳124-97独行侠,38.5%,37,96,24.2%,8,33,68.2%,15,22,40,18,22,20,8,1,9,19,97
214,达拉斯小牛,2017-10-18,负,主,老鹰117-111独行侠,44.2%,38,86,37.8%,17,45,85.7%,18,21,41,9,32,27,5,4,15,19,111
215,达拉斯小牛,2017-10-20,负,主,国王93-88独行侠,41.3%,31,75,33.3%,11,33,71.4%,15,21,36,7,29,19,8,7,12,13,88
216,达拉斯小牛,2017-10-21,负,客,火箭107-91独行侠,36.9%,31,84,41.9%,13,31,76.2%,16,21,41,8,33,19,6,0,14,19,91
217,达拉斯小牛,2017-10-23,负,主,勇士133-103独行侠,39.6%,38,96,31.0%,9,29,60.0%,18,30,42,14,28,21,11,0,12,20,103
218,达拉斯小牛,2017-10-25,胜,主,灰熊94-103独行侠,48.6%,36,74,42.3%,11,26,69.0%,20,29,35,4,31,20,6,4,11,20,103
219,达拉斯小牛,2017-10-26,负,客,灰熊96-91独行侠,34.0%,32,94,29.4%,10,34,85.0%,17,20,53,18,35,20,10,3,14,22,91
220,达拉斯小牛,2017-10-28,负,主," 76人112-110独行侠",51.4%,38,74,47.5%,19,40,78.9%,15,19,33,3,30,22,7,2,17,15,110
221,达拉斯小牛,2017-10-30,负,客,爵士104-89独行侠,44.7%,34,76,50.0%,12,24,81.8%,9,11,42,9,33,17,4,2,24,16,89
222,达拉斯小牛,2017-11-01,负,客,快船119-98独行侠,39.3%,35,89,33.3%,12,36,80.0%,16,20,38,9,29,20,8,4,14,22,98
223,达拉斯小牛,2017-11-03,负,主,鹈鹕99-94独行侠,38.6%,34,88,26.5%,9,34,77.3%,17,22,47,9,38,19,4,7,15,24,94
224,达拉斯小牛,2017-11-04,负,客,森林狼112-99独行侠,46.5%,40,86,37.0%,10,27,75.0%,9,12,31,7,24,18,7,2,16,19,99
225,达拉斯小牛,2017-11-07,胜,客,奇才99-113独行侠,47.3%,43,91,36.7%,11,30,80.0%,16,20,53,11,42,26,6,8,11,23,113
226,达拉斯小牛,2017-11-11,负,主,骑士111-104独行侠,42.4%,39,92,29.4%,10,34,76.2%,16,21,42,9,33,21,7,3,10,26,104
227,达拉斯小牛,2017-11-12,负,客,雷霆112-99独行侠,42.5%,37,87,29.7%,11,37,77.8%,14,18,41,11,30,18,9,4,20,20,99
228,达拉斯小牛,2017-11-14,负,主,马刺97-91独行侠,40.7%,33,81,29.4%,10,34,83.3%,15,18,40,5,35,18,7,4,15,23,91
229,达拉斯小牛,2017-11-17,负,主,森林狼111-87独行侠,37.2%,32,86,21.1%,8,38,88.2%,15,17,41,11,30,18,3,3,11,20,87
230,达拉斯小牛,2017-11-18,胜,主,雄鹿79-111独行侠,48.1%,38,79,50.0%,19,38,84.2%,16,19,49,7,42,27,7,2,17,26,111
231,达拉斯小牛,2017-11-20,负,主,凯尔特110-102独行侠,40.6%,39,96,21.2%,7,33,85.0%,17,20,45,8,37,18,7,3,11,22,102
232,达拉斯小牛,2017-11-22,胜,客,灰熊94-95独行侠,42.9%,39,91,32.1%,9,28,50.0%,8,16,40,4,36,23,9,2,8,14,95
233,达拉斯小牛,2017-11-25,胜,主,雷霆81-97独行侠,49.3%,37,75,42.9%,15,35,70.0%,7,10,43,8,35,25,11,5,17,18,96
234,达拉斯小牛,2017-11-27,负,客,马刺115-108独行侠,48.2%,41,85,43.8%,14,32,70.6%,12,17,40,4,36,25,7,0,11,19,108
235,达拉斯小牛,2017-11-29,负,主,篮网109-104独行侠,46.4%,39,84,33.3%,9,27,81.0%,17,21,44,7,37,26,5,3,11,23,104
236,达拉斯小牛,2017-12-02,胜,主,快船82-108独行侠,45.6%,36,79,45.7%,16,35,76.9%,20,26,54,15,39,24,4,7,15,20,108
237,达拉斯小牛,2017-12-04,胜,主,掘金105-122独行侠,57.0%,49,86,46.2%,12,26,70.6%,12,17,42,5,37,26,4,6,7,18,122
238,达拉斯小牛,2017-12-06,负,客,凯尔特97-90独行侠,39.5%,34,86,32.1%,9,28,76.5%,13,17,45,6,39,19,7,5,9,12,90
239,达拉斯小牛,2017-12-08,负,客,雄鹿109-102独行侠,46.7%,35,75,41.7%,10,24,84.6%,22,26,36,4,32,18,6,2,11,22,102
240,达拉斯小牛,2017-12-10,负,客,森林狼97-92独行侠,45.7%,37,81,35.5%,11,31,77.8%,7,9,33,6,27,23,6,5,10,22,92
241,达拉斯小牛,2017-12-12,胜,主,马刺89-95独行侠,42.7%,38,89,37.5%,9,24,83.3%,10,12,49,8,41,17,8,2,6,19,95
242,达拉斯小牛,2017-12-14,负,客,勇士112-97独行侠,45.1%,37,82,34.5%,10,29,76.5%,13,17,31,8,23,25,7,1,11,16,97
243,达拉斯小牛,2017-12-16,负,客,马刺98-96独行侠,48.8%,39,80,35.7%,10,28,88.9%,8,9,38,4,34,23,4,4,9,16,96
244,达拉斯小牛,2017-12-18,负,主,太阳97-91独行侠,36.4%,32,88,29.7%,11,37,94.1%,16,17,42,8,34,21,10,5,15,18,91
245,达拉斯小牛,2017-12-20,胜,主,活塞93-110独行侠,53.3%,40,75,46.7%,14,30,80.0%,16,20,37,4,33,22,6,7,12,17,110
246,达拉斯小牛,2017-12-22,负,客,热火113-101独行侠,50.7%,38,75,48.6%,17,35,72.7%,8,11,22,3,19,28,5,2,8,12,101
247,达拉斯小牛,2017-12-23,负,客,老鹰112-107独行侠,50.6%,43,85,27.3%,9,33,80.0%,12,15,30,7,23,31,8,3,10,17,107
248,达拉斯小牛,2017-12-26,胜,主,猛龙93-98独行侠,42.6%,40,94,25.0%,6,24,75.0%,12,16,56,16,40,20,5,11,13,24,98
249,达拉斯小牛,2017-12-27,胜,客,步行者94-98独行侠,51.3%,40,78,27.6%,8,29,66.7%,10,15,35,4,31,26,7,3,9,12,98
250,达拉斯小牛,2017-12-29,胜,客,鹈鹕120-128独行侠,55.4%,46,83,56.4%,22,39,77.8%,14,18,43,5,38,27,5,4,15,23,128
251,达拉斯小牛,2017-12-31,胜,客,雷霆113-116独行侠,51.7%,46,89,44.1%,15,34,64.3%,9,14,36,8,28,26,5,5,7,18,116
252,达拉斯小牛,2018-01-03,负,主,勇士125-122独行侠,47.8%,43,90,44.2%,19,43,77.3%,17,22,40,7,33,29,6,2,12,17,122
253,达拉斯小牛,2018-01-05,负,主,公牛127-124独行侠,53.3%,49,92,43.8%,14,32,70.6%,12,17,34,7,27,33,11,2,13,24,124
254,达拉斯小牛,2018-01-07,负,主,尼克斯100-96独行侠,38.0%,35,92,25.0%,6,24,83.3%,20,24,40,9,31,22,7,2,7,20,96
255,达拉斯小牛,2018-01-09,胜,主,魔术99-114独行侠,51.8%,43,83,34.6%,9,26,86.4%,19,22,38,5,33,27,6,2,4,22,114
256,达拉斯小牛,2018-01-10,胜,客,黄蜂111-115独行侠,47.0%,39,83,41.7%,15,36,78.6%,22,28,39,3,36,23,7,7,8,22,115
257,达拉斯小牛,2018-01-13,负,主,湖人107-101独行侠,37.8%,34,90,25.6%,11,43,78.6%,22,28,39,4,35,20,5,1,8,17,101
258,达拉斯小牛,2018-01-16,负,客,掘金105-102独行侠,48.7%,38,78,29.6%,8,27,81.8%,18,22,35,5,30,17,10,3,16,24,102
259,达拉斯小牛,2018-01-20,负,客,开拓者117-108独行侠,45.8%,38,83,40.0%,10,25,78.6%,22,28,37,11,26,19,9,5,9,21,108
260,达拉斯小牛,2018-01-22,胜,主,奇才75-98独行侠,44.2%,38,86,32.3%,10,31,70.6%,12,17,52,9,43,20,9,8,12,21,98
261,达拉斯小牛,2018-01-24,负,主,火箭104-97独行侠,42.7%,35,82,42.9%,15,35,66.7%,12,18,49,9,40,24,5,2,13,21,97
262,达拉斯小牛,2018-01-26,负,主,开拓者107-93独行侠,39.3%,35,89,33.3%,10,30,76.5%,13,17,37,8,29,17,9,3,5,19,93
263,达拉斯小牛,2018-01-27,负,客,掘金91-89独行侠,40.0%,34,85,35.5%,11,31,52.6%,10,19,43,8,35,17,8,5,8,15,89
264,费城76人,2017-10-18,负,客,"奇才120-115 76人",45.7%,43,94,42.9%,15,35,73.7%,14,19,48,11,37,25,6,6,17,28,115
265,费城76人,2017-10-20,负,主,"凯尔特102-92 76人",38.0%,35,92,31.3%,10,32,75.0%,12,16,47,14,33,20,7,4,16,30,92
266,费城76人,2017-10-21,负,客,"猛龙128-94 76人",39.0%,32,82,33.3%,8,24,61.1%,22,36,41,8,33,18,5,4,20,26,94
267,费城76人,2017-10-23,胜,客,"活塞86-97 76人",46.7%,35,75,37.5%,9,24,75.0%,18,24,49,8,41,25,11,0,21,24,97
268,费城76人,2017-10-25,负,主,"火箭105-104 76人",44.3%,43,97,33.3%,12,36,60.0%,6,10,43,12,31,29,14,7,14,19,104
269,费城76人,2017-10-28,胜,客,"独行侠110-112 76人",49.4%,43,87,45.7%,16,35,71.4%,10,14,42,11,31,25,10,1,13,21,112
270,费城76人,2017-10-30,胜,客,"火箭107-115 76人",55.0%,44,80,41.7%,10,24,70.8%,17,24,48,7,41,27,10,4,19,31,115
271,费城76人,2017-11-01,胜,主,"老鹰109-119 76人",46.5%,46,99,37.1%,13,35,56.0%,14,25,53,15,38,36,10,4,17,26,119
272,费城76人,2017-11-03,胜,主,"步行者110-121 76人",50.0%,46,92,50.0%,18,36,78.6%,11,14,50,12,38,34,7,9,18,20,121
273,费城76人,2017-11-07,胜,客,"爵士97-104 76人",42.0%,34,81,44.4%,12,27,80.0%,24,30,56,8,48,23,5,6,22,34,104
274,费城76人,2017-11-09,负,客,"国王109-108 76人",42.5%,37,87,40.5%,15,37,70.4%,19,27,56,13,43,23,6,5,17,28,108
275,费城76人,2017-11-11,负,客,"勇士135-114 76人",46.8%,44,94,42.9%,12,28,70.0%,14,20,38,13,25,30,10,2,19,19,114
276,费城76人,2017-11-13,胜,客,"快船105-109 76人",49.4%,38,77,21.9%,7,32,74.3%,26,35,51,10,41,27,9,2,20,26,109
277,费城76人,2017-11-15,胜,客,"湖人109-115 76人",48.8%,42,86,21.9%,7,32,80.0%,24,30,52,8,44,27,7,15,16,19,115
278,费城76人,2017-11-18,负,主,"勇士124-116 76人",49.0%,47,96,35.7%,10,28,75.0%,12,16,39,10,29,28,8,5,12,22,116
279,费城76人,2017-11-20,胜,主,"爵士86-107 76人",51.8%,44,85,26.7%,4,15,68.2%,15,22,55,9,46,20,11,7,19,18,107
280,费城76人,2017-11-22,胜,主,"开拓者81-101 76人",43.3%,39,90,34.4%,11,32,70.6%,12,17,57,11,46,23,12,8,18,21,101
281,费城76人,2017-11-25,胜,主,"魔术111-130 76人",50.5%,48,95,47.1%,16,34,90.0%,18,20,53,11,42,35,7,2,11,22,130
282,费城76人,2017-11-27,负,主,"骑士113-91 76人",37.5%,36,96,10.7%,3,28,80.0%,16,20,53,22,31,15,6,1,12,18,91
