" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
451,菲尼克斯太阳,2017-11-11,胜,主,森林狼110-118太阳,53.5%,46,86,38.5%,10,26,66.7%,16,24,46,7,39,21,4,10,18,25,118
452,菲尼克斯太阳,2017-11-13,负,主,湖人100-93太阳,38.9%,37,95,26.9%,7,26,60.0%,12,20,55,12,43,15,6,4,15,17,93
453,菲尼克斯太阳,2017-11-16,负,主,火箭142-116太阳,45.2%,47,104,33.3%,10,30,57.1%,12,21,47,16,31,28,9,5,14,22,116
454,菲尼克斯太阳,2017-11-17,胜,客,湖人113-122太阳,47.1%,48,102,40.6%,13,32,68.4%,13,19,44,9,35,28,10,5,14,22,122
455,菲尼克斯太阳,2017-11-19,胜,主,公牛105-113太阳,50.6%,45,89,25.9%,7,27,72.7%,16,22,48,9,39,32,5,4,11,16,113
456,菲尼克斯太阳,2017-11-22,负,主,雄鹿113-107太阳,39.8%,37,93,31.8%,7,22,78.8%,26,33,60,22,38,15,7,9,29,26,107
457,菲尼克斯太阳,2017-11-24,负,主,鹈鹕115-91太阳,39.4%,37,94,10.0%,2,20,83.3%,15,18,48,15,33,12,9,6,16,18,91
458,菲尼克斯太阳,2017-11-26,负,客,森林狼119-108太阳,50.6%,43,85,50.0%,13,26,75.0%,9,12,37,11,26,25,6,1,15,20,108
459,菲尼克斯太阳,2017-11-28,胜,客,公牛99-104太阳,43.7%,38,87,36.7%,11,30,73.9%,17,23,57,13,44,24,4,4,15,12,104
460,菲尼克斯太阳,2017-11-29,负,客,活塞131-107太阳,46.4%,39,84,31.8%,7,22,77.8%,21,27,37,8,29,21,12,4,19,19,106
461,菲尼克斯太阳,2017-12-02,负,客,凯尔特116-111太阳,47.5%,48,101,29.2%,7,24,72.7%,8,11,47,16,31,24,8,1,10,19,111
462,菲尼克斯太阳,2017-12-04,胜,客," 76人101-115太阳",48.4%,44,91,45.5%,10,22,77.3%,17,22,46,15,31,25,10,9,11,14,115
463,菲尼克斯太阳,2017-12-05,负,客,猛龙126-113太阳,49.3%,37,75,37.5%,9,24,78.9%,30,38,35,0,35,23,7,4,17,24,113
464,菲尼克斯太阳,2017-12-07,负,主,奇才109-99太阳,46.2%,36,78,30.4%,7,23,71.4%,20,28,42,10,32,22,5,5,13,21,99
465,菲尼克斯太阳,2017-12-09,负,主,马刺104-101太阳,43.8%,35,80,28.0%,7,25,80.0%,24,30,40,10,30,11,4,1,10,21,101
466,菲尼克斯太阳,2017-12-12,负,客,国王99-92太阳,41.1%,37,90,21.9%,7,32,78.6%,11,14,45,13,32,22,5,4,12,18,92
467,菲尼克斯太阳,2017-12-13,负,主,猛龙115-109太阳,44.6%,37,83,33.3%,8,24,79.4%,27,34,41,10,31,20,3,9,11,24,109
468,菲尼克斯太阳,2017-12-16,胜,客,森林狼106-108太阳,45.8%,33,72,45.8%,11,24,88.6%,31,35,52,13,39,22,4,3,23,21,108
469,菲尼克斯太阳,2017-12-18,胜,客,独行侠91-97太阳,44.3%,35,79,40.0%,10,25,77.3%,17,22,49,7,42,17,9,6,18,25,97
470,菲尼克斯太阳,2017-12-20,负,客,快船108-95太阳,36.1%,35,97,22.9%,8,35,89.5%,17,19,50,14,36,22,3,3,10,25,95
471,菲尼克斯太阳,2017-12-21,胜,主,灰熊95-97太阳,40.7%,33,81,38.5%,10,26,77.8%,21,27,44,12,32,21,4,1,10,17,97
472,菲尼克斯太阳,2017-12-23,负,主,森林狼115-106太阳,46.5%,40,86,34.4%,11,32,62.5%,15,24,36,9,27,24,5,4,13,22,106
473,菲尼克斯太阳,2017-12-26,胜,主,灰熊97-99太阳,44.4%,32,72,36.4%,8,22,77.1%,27,35,41,6,35,24,5,5,19,29,99
474,菲尼克斯太阳,2017-12-29,胜,客,国王101-111太阳,48.2%,41,85,43.3%,13,30,66.7%,16,24,47,16,31,26,5,5,10,19,111
475,菲尼克斯太阳,2017-12-31,负,主," 76人123-110太阳",42.0%,37,88,37.0%,10,27,76.5%,26,34,35,12,23,18,9,4,16,29,110
