" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
601,芝加哥公牛,2018-04-11,负,主,活塞119-87公牛,37.2%,32,86,32.4%,11,34,66.7%,12,18,40,12,28,21,8,1,18,15,87
602,纽约尼克斯,2017-10-19,负,客,雷霆105-84尼克斯,40.5%,32,79,29.2%,7,24,65.0%,13,20,41,11,30,19,8,4,25,23,84
603,纽约尼克斯,2017-10-21,负,主,活塞111-107尼克斯,45.7%,37,81,26.7%,8,30,80.6%,25,31,39,12,27,20,6,2,12,21,107
604,纽约尼克斯,2017-10-24,负,客,凯尔特110-89尼克斯,42.4%,36,85,8.3%,1,12,64.0%,16,25,43,11,32,20,8,2,14,17,89
605,纽约尼克斯,2017-10-27,胜,主,篮网86-107尼克斯,44.9%,44,98,33.3%,9,27,58.8%,10,17,55,19,36,19,7,6,11,19,107
606,纽约尼克斯,2017-10-29,胜,客,骑士95-114尼克斯,47.2%,42,89,46.4%,13,28,81.0%,17,21,51,11,40,27,9,6,14,26,114
607,纽约尼克斯,2017-10-30,胜,主,掘金110-116尼克斯,50.0%,41,82,40.6%,13,32,91.3%,21,23,49,11,38,27,8,10,22,27,116
608,纽约尼克斯,2017-11-01,负,主,火箭119-97尼克斯,43.3%,39,90,29.6%,8,27,84.6%,11,13,42,6,36,23,8,1,19,18,97
609,纽约尼克斯,2017-11-03,胜,主,太阳107-120尼克斯,51.7%,45,87,30.8%,8,26,88.0%,22,25,49,9,40,24,5,7,12,24,120
610,纽约尼克斯,2017-11-05,胜,主,步行者101-108尼克斯,50.0%,44,88,26.1%,6,23,73.7%,14,19,46,12,34,24,8,7,12,21,108
611,纽约尼克斯,2017-11-07,胜,主,黄蜂113-118尼克斯,60.0%,45,75,48.0%,12,25,76.2%,16,21,35,6,29,29,5,5,16,19,118
612,纽约尼克斯,2017-11-08,负,客,魔术112-99尼克斯,52.5%,42,80,41.7%,5,12,76.9%,10,13,42,12,30,26,7,2,23,21,99
613,纽约尼克斯,2017-11-11,胜,主,国王91-118尼克斯,52.2%,47,90,44.4%,12,27,80.0%,12,15,40,8,32,29,6,6,11,22,118
614,纽约尼克斯,2017-11-13,负,主,骑士104-101尼克斯,43.2%,38,88,32.0%,8,25,77.3%,17,22,49,13,36,19,13,3,17,21,101
615,纽约尼克斯,2017-11-15,胜,主,爵士101-106尼克斯,46.9%,38,81,42.9%,9,21,84.0%,21,25,45,12,33,18,4,5,11,19,106
616,纽约尼克斯,2017-11-17,负,客,猛龙107-84尼克斯,33.0%,30,91,39.1%,9,23,88.2%,15,17,43,14,29,17,7,4,9,12,84
617,纽约尼克斯,2017-11-20,胜,主,快船85-107尼克斯,43.2%,35,81,38.2%,13,34,96.0%,24,25,51,14,37,24,11,5,22,26,107
618,纽约尼克斯,2017-11-22,胜,主,猛龙100-108尼克斯,46.2%,43,93,33.3%,8,24,82.4%,14,17,47,13,34,29,8,7,11,19,108
619,纽约尼克斯,2017-11-24,负,客,老鹰116-104尼克斯,50.6%,40,79,40.0%,12,30,85.7%,12,14,38,5,33,30,1,9,20,19,104
620,纽约尼克斯,2017-11-25,负,客,火箭117-102尼克斯,49.4%,42,85,23.5%,4,17,73.7%,14,19,40,6,34,29,4,3,18,20,102
621,纽约尼克斯,2017-11-27,负,主,开拓者103-91尼克斯,39.8%,35,88,33.3%,5,15,72.7%,16,22,51,14,37,13,3,3,13,20,91
622,纽约尼克斯,2017-11-29,胜,主,热火86-115尼克斯,60.3%,44,73,38.5%,5,13,84.6%,22,26,52,8,44,26,10,5,20,20,115
