" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
751,犹他爵士,2018-03-13,胜,主,活塞79-110爵士,55.3%,42,76,38.2%,13,34,56.5%,13,23,52,11,41,29,10,5,22,22,110
752,犹他爵士,2018-03-15,胜,主,太阳88-116爵士,43.3%,42,97,33.3%,12,36,62.5%,20,32,53,14,39,29,12,8,7,20,116
753,犹他爵士,2018-03-17,胜,主,国王97-103爵士,44.6%,33,74,25.0%,6,24,81.6%,31,38,48,8,40,21,8,8,15,13,103
754,犹他爵士,2018-03-20,负,主,老鹰99-94爵士,37.1%,33,89,17.6%,6,34,88.0%,22,25,51,12,39,16,8,8,16,22,94
755,犹他爵士,2018-03-22,胜,客,独行侠112-119爵士,52.9%,46,87,41.4%,12,29,93.8%,15,16,39,8,31,32,11,6,11,19,119
756,犹他爵士,2018-03-23,负,客,马刺124-120爵士,48.9%,43,88,39.3%,11,28,79.3%,23,29,34,5,29,24,10,3,15,23,120
757,犹他爵士,2018-03-25,胜,客,勇士91-110爵士,48.3%,42,87,42.9%,12,28,77.8%,14,18,47,11,36,27,6,8,14,16,110
758,犹他爵士,2018-03-28,负,主,凯尔特97-94爵士,41.5%,34,82,27.3%,9,33,81.0%,17,21,45,12,33,25,7,6,16,18,94
759,犹他爵士,2018-03-30,胜,主,灰熊97-107爵士,54.1%,40,74,38.7%,12,31,57.7%,15,26,38,7,31,24,7,5,15,19,107
760,犹他爵士,2018-04-01,胜,客,森林狼97-121爵士,60.5%,46,76,39.3%,11,28,72.0%,18,25,45,6,39,29,8,7,16,19,121
761,犹他爵士,2018-04-03,胜,主,湖人110-117爵士,48.3%,43,89,42.4%,14,33,63.0%,17,27,47,14,33,29,10,5,14,22,117
762,犹他爵士,2018-04-05,胜,主,快船95-117爵士,53.0%,44,83,37.0%,10,27,67.9%,19,28,38,10,28,27,7,8,9,22,117
763,犹他爵士,2018-04-08,胜,客,湖人97-112爵士,50.6%,42,83,36.1%,13,36,68.2%,15,22,45,7,38,35,8,4,18,24,112
764,犹他爵士,2018-04-10,胜,主,勇士79-119爵士,53.3%,48,90,37.1%,13,35,76.9%,10,13,54,12,42,25,10,6,15,20,119
765,犹他爵士,2018-04-11,负,客,开拓者102-93爵士,37.1%,33,89,34.8%,8,23,79.2%,19,24,53,14,39,18,5,7,14,19,93
766,犹他爵士,2018-04-15,负,客,雷霆116-108爵士,47.1%,41,87,39.3%,11,28,75.0%,15,20,42,9,33,18,10,7,14,21,108
767,犹他爵士,2018-04-18,胜,客,雷霆95-102爵士,41.7%,35,84,31.0%,9,29,69.7%,23,33,56,15,41,22,9,3,14,19,102
768,犹他爵士,2018-04-21,胜,主,雷霆102-115爵士,52.5%,42,80,38.2%,13,34,66.7%,18,27,48,13,35,24,12,5,19,20,115
769,犹他爵士,2018-04-23,胜,主,雷霆96-113爵士,45.1%,41,91,35.3%,12,34,70.4%,19,27,49,10,39,21,7,7,11,23,113
770,犹他爵士,2018-04-25,负,客,雷霆107-99爵士,40.7%,33,81,34.2%,13,38,76.9%,20,26,46,10,36,19,5,6,16,24,99
771,犹他爵士,2018-04-27,胜,主,雷霆91-96爵士,45.7%,37,81,38.5%,10,26,52.2%,12,23,40,11,29,16,9,5,13,17,96
772,犹他爵士,2018-04-29,负,客,火箭110-96爵士,50.0%,38,76,31.8%,7,22,59.1%,13,22,37,6,31,20,11,3,18,20,96
773,犹他爵士,2018-05-02,胜,客,火箭108-116爵士,51.8%,43,83,46.9%,15,32,60.0%,15,25,48,5,43,26,4,5,17,24,116
