" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
901,洛杉矶快船,2018-01-15,胜,主,火箭102-113快船,55.7%,44,79,40.0%,10,25,75.0%,15,20,41,4,37,30,6,10,18,17,113
902,洛杉矶快船,2018-01-17,胜,主,掘金104-109快船,46.0%,40,87,33.3%,10,30,61.3%,19,31,49,17,32,22,10,5,20,16,109
903,洛杉矶快船,2018-01-20,负,客,爵士125-113快船,43.9%,36,82,30.6%,11,36,78.9%,30,38,34,7,27,18,17,2,14,24,113
904,洛杉矶快船,2018-01-22,负,主,森林狼126-118快船,56.0%,47,84,33.3%,9,27,68.2%,15,22,40,8,32,31,4,1,17,27,118
905,洛杉矶快船,2018-01-24,负,主,凯尔特113-102快船,44.3%,35,79,23.8%,5,21,69.2%,27,39,40,10,30,26,6,5,19,15,102
906,洛杉矶快船,2018-01-26,胜,客,灰熊100-109快船,48.8%,39,80,37.0%,10,27,72.4%,21,29,36,3,33,23,15,6,10,20,109
907,洛杉矶快船,2018-01-28,胜,客,鹈鹕103-112快船,46.9%,45,96,32.1%,9,28,72.2%,13,18,50,11,39,29,7,4,12,19,112
908,洛杉矶快船,2018-01-30,负,主,开拓者104-96快船,41.2%,35,85,27.3%,6,22,76.9%,20,26,50,9,41,22,5,7,13,17,96
909,洛杉矶快船,2018-02-03,胜,主,公牛103-113快船,45.5%,40,88,36.0%,9,25,85.7%,24,28,54,10,44,23,4,5,13,18,113
910,洛杉矶快船,2018-02-05,胜,主,独行侠101-104快船,48.3%,42,87,37.0%,10,27,83.3%,10,12,39,5,34,28,10,3,13,16,104
911,洛杉矶快船,2018-02-09,胜,客,活塞95-108快船,46.2%,42,91,33.3%,10,30,93.3%,14,15,57,14,43,23,6,3,9,16,108
912,洛杉矶快船,2018-02-10,负,客," 76人112-98快船",43.2%,38,88,25.0%,8,32,60.9%,14,23,53,11,42,20,7,5,16,16,98
913,洛杉矶快船,2018-02-12,胜,客,篮网101-114快船,56.5%,48,85,37.5%,6,16,85.7%,12,14,43,8,35,19,8,6,15,14,114
914,洛杉矶快船,2018-02-14,胜,客,凯尔特119-129快船,50.0%,44,88,37.9%,11,29,90.9%,30,33,43,7,36,26,5,5,7,21,129
915,洛杉矶快船,2018-02-22,负,客,勇士134-127快船,50.0%,44,88,34.4%,11,32,82.4%,28,34,36,8,28,32,9,1,14,19,127
916,洛杉矶快船,2018-02-23,胜,客,太阳117-128快船,51.7%,45,87,43.8%,14,32,75.0%,24,32,51,8,43,23,5,8,16,26,128
917,洛杉矶快船,2018-02-27,胜,客,掘金120-122快船,51.7%,46,89,26.9%,7,26,74.2%,23,31,43,13,30,26,12,7,18,25,122
918,洛杉矶快船,2018-02-28,负,主,火箭105-92快船,45.6%,36,79,30.4%,7,23,68.4%,13,19,39,4,35,17,6,2,16,19,92
919,洛杉矶快船,2018-03-02,胜,主,尼克斯105-128快船,56.2%,50,89,36.0%,9,25,79.2%,19,24,51,14,37,34,14,6,11,17,128
920,洛杉矶快船,2018-03-04,胜,主,篮网120-123快船,52.4%,44,84,37.0%,10,27,83.3%,25,30,40,7,33,18,12,6,10,20,123
921,洛杉矶快船,2018-03-06,负,主,鹈鹕121-116快船,46.9%,46,98,25.9%,7,27,65.4%,17,26,57,10,47,25,5,2,13,18,116
922,洛杉矶快船,2018-03-09,胜,主,骑士102-116快船,48.3%,43,89,39.3%,11,28,63.3%,19,30,52,13,39,25,6,3,13,16,116
923,洛杉矶快船,2018-03-10,胜,主,魔术105-113快船,52.6%,41,78,38.9%,7,18,85.7%,24,28,41,8,33,17,9,3,15,20,113
924,洛杉矶快船,2018-03-13,胜,客,公牛106-112快船,48.7%,37,76,27.6%,8,29,73.2%,30,41,42,6,36,27,4,6,14,14,112
925,洛杉矶快船,2018-03-15,负,客,火箭101-96快船,45.4%,44,97,22.2%,4,18,50.0%,4,8,45,11,34,16,3,4,9,21,96
926,洛杉矶快船,2018-03-16,负,客,雷霆121-113快船,48.8%,42,86,42.3%,11,26,78.3%,18,23,48,16,32,21,10,3,21,18,113
927,洛杉矶快船,2018-03-18,负,主,开拓者122-109快船,44.9%,40,89,39.1%,9,23,74.1%,20,27,38,8,30,21,8,3,8,17,109
928,洛杉矶快船,2018-03-20,负,客,森林狼123-109快船,43.0%,40,93,33.3%,8,24,80.8%,21,26,41,11,30,21,4,5,10,22,109
929,洛杉矶快船,2018-03-21,胜,客,雄鹿120-127快船,52.3%,45,86,50.0%,15,30,75.9%,22,29,47,16,31,26,12,3,19,16,127
930,洛杉矶快船,2018-03-23,负,客,步行者109-104快船,55.3%,42,76,38.5%,10,26,71.4%,10,14,33,6,27,24,4,3,15,20,104
931,洛杉矶快船,2018-03-25,胜,客,猛龙106-117快船,46.3%,44,95,44.4%,8,18,77.8%,21,27,44,12,32,17,7,5,8,16,117
932,洛杉矶快船,2018-03-27,胜,主,雄鹿98-105快船,46.5%,40,86,53.6%,15,28,55.6%,10,18,41,8,33,23,8,4,13,23,105
933,洛杉矶快船,2018-03-28,胜,客,太阳99-111快船,53.8%,43,80,47.1%,8,17,68.0%,17,25,51,11,40,26,7,4,21,17,111
934,洛杉矶快船,2018-03-30,负,客,开拓者105-96快船,40.4%,36,89,30.8%,4,13,57.1%,20,35,46,11,35,13,5,5,10,16,96
935,洛杉矶快船,2018-04-01,负,主,步行者111-104快船,51.2%,42,82,36.0%,9,25,78.6%,11,14,36,12,24,24,6,6,13,19,104
936,洛杉矶快船,2018-04-03,胜,主,马刺110-113快船,45.1%,37,82,31.3%,5,16,79.1%,34,43,47,12,35,21,8,2,14,23,113
937,洛杉矶快船,2018-04-05,负,客,爵士117-95快船,44.3%,35,79,17.6%,3,17,78.6%,22,28,39,11,28,18,7,3,16,25,95
938,洛杉矶快船,2018-04-07,负,主,掘金134-115快船,49.4%,43,87,35.3%,6,17,67.6%,23,34,38,15,23,25,6,0,10,19,115
939,洛杉矶快船,2018-04-09,负,主,鹈鹕113-100快船,45.9%,45,98,11.8%,2,17,42.1%,8,19,60,16,44,29,6,6,15,18,100
940,洛杉矶快船,2018-04-11,负,主,湖人115-100快船,49.4%,41,83,33.3%,6,18,42.9%,12,28,41,8,33,27,8,1,17,17,100
941,波特兰开拓者,2017-10-18,胜,客,太阳76-124开拓者,48.9%,44,90,58.3%,14,24,78.6%,22,28,57,15,42,22,8,7,16,20,124
942,波特兰开拓者,2017-10-20,胜,客,步行者96-114开拓者,48.4%,46,95,47.4%,9,19,76.5%,13,17,51,11,40,19,5,6,9,26,114
943,波特兰开拓者,2017-10-21,负,客,雄鹿113-110开拓者,42.5%,34,80,40.7%,11,27,88.6%,31,35,42,13,29,18,10,6,16,22,110
944,波特兰开拓者,2017-10-24,胜,主,鹈鹕93-103开拓者,37.5%,33,88,34.5%,10,29,81.8%,27,33,63,18,45,17,7,7,19,22,103
945,波特兰开拓者,2017-10-26,负,主,快船104-103开拓者,39.3%,35,89,45.2%,14,31,86.4%,19,22,44,16,28,19,5,4,9,26,103
946,波特兰开拓者,2017-10-28,胜,主,太阳107-114开拓者,44.0%,40,91,42.3%,11,26,82.1%,23,28,53,12,41,27,8,7,14,26,114
947,波特兰开拓者,2017-10-30,负,主,猛龙99-85开拓者,38.8%,31,80,30.8%,8,26,78.9%,15,19,38,6,32,13,5,7,13,15,85
948,波特兰开拓者,2017-11-01,负,客,爵士112-103开拓者,39.8%,37,93,26.5%,9,34,74.1%,20,27,53,11,42,17,8,8,17,25,103
949,波特兰开拓者,2017-11-02,胜,主,湖人110-113开拓者,46.5%,40,86,40.9%,9,22,88.9%,24,27,41,10,31,22,7,4,12,21,113
950,波特兰开拓者,2017-11-05,胜,主,雷霆99-103开拓者,50.0%,37,74,35.0%,7,20,78.6%,22,28,44,7,37,20,6,7,21,20,103
951,波特兰开拓者,2017-11-07,负,主,灰熊98-97开拓者,44.4%,36,81,31.6%,6,19,95.0%,19,20,42,10,32,11,9,1,16,18,97
952,波特兰开拓者,2017-11-10,负,主,篮网101-97开拓者,42.1%,40,95,34.8%,8,23,81.8%,9,11,51,12,39,17,4,4,10,17,97
953,波特兰开拓者,2017-11-13,胜,主,掘金82-99开拓者,52.1%,38,73,33.3%,7,21,88.9%,16,18,43,8,35,22,12,5,21,18,99
954,波特兰开拓者,2017-11-15,胜,主,魔术94-99开拓者,43.7%,38,87,51.9%,14,27,69.2%,9,13,41,10,31,21,7,2,12,10,99
955,波特兰开拓者,2017-11-17,负,客,国王86-82开拓者,37.0%,30,81,28.0%,7,25,93.8%,15,16,44,11,33,13,8,1,17,20,82
956,波特兰开拓者,2017-11-18,胜,主,国王90-102开拓者,54.3%,38,70,47.6%,10,21,76.2%,16,21,44,5,39,19,6,8,18,22,102
957,波特兰开拓者,2017-11-20,胜,客,灰熊92-100开拓者,39.8%,33,83,40.0%,6,15,87.5%,28,32,60,15,45,11,1,9,15,23,100
958,波特兰开拓者,2017-11-22,负,客," 76人101-81开拓者",33.7%,30,89,26.9%,7,26,58.3%,14,24,48,11,37,14,8,6,17,17,81
959,波特兰开拓者,2017-11-24,胜,客,篮网125-127开拓者,50.0%,48,96,40.0%,6,15,71.4%,25,35,45,12,33,24,5,13,7,16,127
960,波特兰开拓者,2017-11-25,胜,客,奇才105-108开拓者,51.2%,41,80,37.5%,9,24,76.2%,16,21,41,6,35,18,3,6,16,16,107
961,波特兰开拓者,2017-11-27,胜,客,尼克斯91-103开拓者,44.6%,37,83,33.3%,7,21,84.6%,22,26,45,5,40,18,10,3,9,22,103
962,波特兰开拓者,2017-11-30,负,主,雄鹿103-91开拓者,42.2%,35,83,26.1%,6,23,88.2%,15,17,50,10,40,17,5,3,19,14,91
963,波特兰开拓者,2017-12-02,负,主,鹈鹕123-116开拓者,44.8%,47,105,31.4%,11,35,100.0%,11,11,44,9,35,20,6,3,5,17,116
964,波特兰开拓者,2017-12-05,负,主,奇才106-92开拓者,41.0%,32,78,44.4%,12,27,76.2%,16,21,41,7,34,18,2,5,18,20,92
965,波特兰开拓者,2017-12-09,负,主,火箭124-117开拓者,51.1%,45,88,43.9%,18,41,75.0%,9,12,33,7,26,19,4,5,15,28,117
966,波特兰开拓者,2017-12-11,负,客,勇士111-104开拓者,42.0%,37,88,25.0%,7,28,92.0%,23,25,39,12,27,14,11,2,9,18,104
967,波特兰开拓者,2017-12-13,胜,客,热火95-102开拓者,50.0%,36,72,35.7%,10,28,87.0%,20,23,33,5,28,14,7,2,11,21,102
968,波特兰开拓者,2017-12-15,胜,客,魔术88-95开拓者,43.0%,37,86,44.4%,8,18,86.7%,13,15,45,6,39,18,7,9,14,20,95
969,波特兰开拓者,2017-12-16,胜,客,黄蜂91-93开拓者,46.3%,37,80,41.7%,10,24,50.0%,9,18,47,5,42,19,2,3,19,21,93
970,波特兰开拓者,2017-12-18,负,客,森林狼108-107开拓者,54.8%,46,84,41.7%,10,24,100.0%,5,5,40,7,33,26,6,8,17,19,107
971,波特兰开拓者,2017-12-20,负,主,马刺93-91开拓者,39.6%,38,96,24.0%,6,25,64.3%,9,14,38,12,26,18,12,2,8,14,91
972,波特兰开拓者,2017-12-22,负,主,掘金102-85开拓者,42.2%,35,83,27.3%,6,22,56.3%,9,16,34,10,24,15,6,4,9,19,85
973,波特兰开拓者,2017-12-23,胜,客,湖人92-95开拓者,41.1%,39,95,40.0%,10,25,50.0%,7,14,47,9,38,19,7,8,11,15,95
974,波特兰开拓者,2017-12-28,胜,主," 76人110-114开拓者",46.7%,35,75,33.3%,8,24,76.6%,36,47,47,8,39,15,7,3,15,18,114
975,波特兰开拓者,2017-12-30,负,客,老鹰104-89开拓者,42.4%,36,85,28.0%,7,25,76.9%,10,13,46,15,31,19,9,8,20,18,89
976,波特兰开拓者,2018-01-01,胜,客,公牛120-124开拓者,43.5%,47,108,42.4%,14,33,88.9%,16,18,50,12,38,25,7,5,8,16,124
977,波特兰开拓者,2018-01-02,负,客,骑士127-110开拓者,46.7%,42,90,40.6%,13,32,68.4%,13,19,43,13,30,25,5,5,15,29,110
978,波特兰开拓者,2018-01-05,胜,主,老鹰89-110开拓者,53.8%,43,80,43.3%,13,30,78.6%,11,14,44,6,38,30,11,5,15,20,110
979,波特兰开拓者,2018-01-07,胜,主,马刺110-111开拓者,52.2%,48,92,34.8%,8,23,70.0%,7,10,38,9,29,19,7,5,9,24,111
980,波特兰开拓者,2018-01-09,胜,客,雷霆106-117开拓者,53.1%,43,81,43.5%,10,23,80.8%,21,26,42,8,34,19,10,2,15,20,117
981,波特兰开拓者,2018-01-10,负,客,火箭121-112开拓者,48.2%,40,83,34.6%,9,26,71.9%,23,32,40,6,34,21,5,6,12,26,112
982,波特兰开拓者,2018-01-12,负,客,鹈鹕119-113开拓者,44.6%,45,101,28.6%,12,42,78.6%,11,14,39,14,25,24,13,6,11,22,113
983,波特兰开拓者,2018-01-14,负,客,森林狼120-103开拓者,49.4%,39,79,44.0%,11,25,82.4%,14,17,38,8,30,19,6,3,17,27,103
984,波特兰开拓者,2018-01-16,胜,主,太阳111-118开拓者,50.5%,46,91,48.6%,17,35,90.0%,9,10,43,9,34,21,7,6,9,16,118
985,波特兰开拓者,2018-01-18,胜,主,步行者86-100开拓者,39.4%,37,94,31.3%,10,32,100.0%,16,16,57,14,43,17,6,7,11,11,100
986,波特兰开拓者,2018-01-20,胜,主,独行侠108-117开拓者,52.3%,45,86,50.0%,18,36,90.0%,9,10,40,9,31,19,3,3,14,23,117
987,波特兰开拓者,2018-01-22,负,客,掘金104-101开拓者,42.4%,36,85,32.0%,8,25,80.8%,21,26,44,11,33,19,11,6,11,22,101
988,波特兰开拓者,2018-01-24,胜,主,森林狼114-123开拓者,54.9%,45,82,54.8%,17,31,76.2%,16,21,37,6,31,24,4,1,10,16,123
989,波特兰开拓者,2018-01-26,胜,客,独行侠93-107开拓者,49.4%,39,79,33.3%,10,30,82.6%,19,23,54,10,44,20,4,6,14,17,107
990,波特兰开拓者,2018-01-30,胜,客,快船96-104开拓者,36.7%,36,98,43.3%,13,30,86.4%,19,22,59,18,41,21,12,6,12,21,104
991,波特兰开拓者,2018-01-31,胜,主,公牛108-124开拓者,56.1%,46,82,46.9%,15,32,85.0%,17,20,48,5,43,21,3,6,17,19,124
992,波特兰开拓者,2018-02-02,负,客,猛龙130-105开拓者,50.7%,37,73,33.3%,7,21,72.7%,24,33,36,4,32,20,4,3,10,15,105
993,波特兰开拓者,2018-02-04,负,客,凯尔特97-96开拓者,39.6%,36,91,41.9%,13,31,78.6%,11,14,46,10,36,21,4,9,8,17,96
994,波特兰开拓者,2018-02-05,负,客,活塞111-91开拓者,39.4%,37,94,30.3%,10,33,87.5%,7,8,44,13,31,18,10,4,13,14,91
