" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1051,波士顿凯尔特人,2017-12-04,胜,主,雄鹿100-111凯尔特,55.1%,43,78,45.5%,10,22,78.9%,15,19,45,8,37,25,5,3,14,20,111
1052,波士顿凯尔特人,2017-12-06,胜,主,独行侠90-97凯尔特,41.4%,36,87,35.3%,12,34,76.5%,13,17,53,9,44,25,8,8,11,15,97
1053,波士顿凯尔特人,2017-12-08,负,客,马刺105-102凯尔特,45.8%,38,83,28.9%,11,38,88.2%,15,17,39,11,28,14,10,0,14,22,102
1054,波士顿凯尔特人,2017-12-10,胜,客,活塞81-91凯尔特,41.8%,33,79,36.7%,11,30,77.8%,14,18,50,9,41,16,4,4,13,18,91
1055,波士顿凯尔特人,2017-12-11,负,客,公牛108-85凯尔特,39.8%,33,83,25.0%,10,40,64.3%,9,14,46,11,35,22,2,1,15,19,85
1056,波士顿凯尔特人,2017-12-13,胜,主,掘金118-124凯尔特,59.5%,47,79,44.0%,11,25,79.2%,19,24,30,4,26,29,10,7,13,20,124
1057,波士顿凯尔特人,2017-12-15,负,主,爵士107-95凯尔特,40.7%,35,86,29.0%,9,31,84.2%,16,19,31,2,29,20,10,5,8,18,95
1058,波士顿凯尔特人,2017-12-16,胜,客,灰熊93-102凯尔特,48.8%,39,80,46.7%,14,30,71.4%,10,14,42,14,28,21,6,6,16,19,102
1059,波士顿凯尔特人,2017-12-18,胜,客,步行者111-112凯尔特,55.7%,44,79,61.5%,16,26,57.1%,8,14,38,6,32,26,6,4,19,31,112
1060,波士顿凯尔特人,2017-12-20,负,主,热火90-89凯尔特,37.5%,30,80,40.6%,13,32,76.2%,16,21,44,5,39,18,5,5,10,22,89
1061,波士顿凯尔特人,2017-12-21,负,客,尼克斯102-93凯尔特,38.4%,33,86,34.2%,13,38,73.7%,14,19,35,9,26,17,11,1,10,20,93
1062,波士顿凯尔特人,2017-12-23,胜,主,公牛92-117凯尔特,47.8%,44,92,37.5%,12,32,81.0%,17,21,46,8,38,29,9,5,5,18,117
1063,波士顿凯尔特人,2017-12-25,负,主,奇才111-103凯尔特,48.1%,39,81,48.3%,14,29,64.7%,11,17,45,8,37,20,2,4,16,23,103
1064,波士顿凯尔特人,2017-12-27,胜,客,黄蜂91-102凯尔特,47.4%,37,78,44.1%,15,34,100.0%,13,13,43,6,37,20,4,7,15,20,102
1065,波士顿凯尔特人,2017-12-28,胜,主,火箭98-99凯尔特,45.1%,37,82,27.6%,8,29,70.8%,17,24,44,10,34,18,9,8,16,22,99
1066,波士顿凯尔特人,2017-12-31,胜,主,篮网105-108凯尔特,49.4%,39,79,42.4%,14,33,64.0%,16,25,50,8,42,21,7,8,17,22,108
1067,波士顿凯尔特人,2018-01-03,胜,主,骑士88-102凯尔特,44.6%,41,92,33.3%,12,36,72.7%,8,11,52,9,43,27,9,2,15,20,102
1068,波士顿凯尔特人,2018-01-05,胜,主,森林狼84-91凯尔特,40.4%,38,94,16.7%,6,36,69.2%,9,13,56,17,39,24,6,4,10,22,91
1069,波士顿凯尔特人,2018-01-06,胜,客,篮网85-87凯尔特,37.8%,37,98,27.8%,5,18,53.3%,8,15,44,12,32,12,8,13,4,17,87
1070,波士顿凯尔特人,2018-01-11,胜,客," 76人103-114凯尔特",48.3%,43,89,37.1%,13,35,78.9%,15,19,46,11,35,24,11,2,18,18,114
1071,波士顿凯尔特人,2018-01-16,负,主,鹈鹕116-113凯尔特,39.6%,40,101,38.0%,19,50,87.5%,14,16,53,12,41,27,7,3,18,24,113
1072,波士顿凯尔特人,2018-01-18,负,主," 76人89-80凯尔特",40.5%,30,74,24.1%,7,29,76.5%,13,17,31,3,28,13,7,5,19,20,80
1073,波士顿凯尔特人,2018-01-21,负,主,魔术103-95凯尔特,43.5%,37,85,29.6%,8,27,92.9%,13,14,44,11,33,22,6,9,15,18,95
1074,波士顿凯尔特人,2018-01-23,负,客,湖人108-107凯尔特,46.7%,42,90,34.1%,15,44,80.0%,8,10,42,7,35,22,3,5,11,25,107
1075,波士顿凯尔特人,2018-01-24,胜,客,快船102-113凯尔特,41.9%,39,93,35.0%,14,40,95.5%,21,22,47,10,37,25,10,3,13,28,113
1076,波士顿凯尔特人,2018-01-27,负,客,勇士109-105凯尔特,43.5%,37,85,50.0%,14,28,70.8%,17,24,45,11,34,17,6,2,14,23,105
1077,波士顿凯尔特人,2018-01-29,胜,客,掘金110-111凯尔特,47.3%,43,91,47.2%,17,36,80.0%,8,10,40,10,30,28,4,6,9,19,111
1078,波士顿凯尔特人,2018-01-31,胜,主,尼克斯73-103凯尔特,48.2%,40,83,42.3%,11,26,60.0%,12,20,49,5,44,27,8,3,9,22,103
1079,波士顿凯尔特人,2018-02-02,胜,主,老鹰110-119凯尔特,50.6%,45,89,45.8%,11,24,90.0%,18,20,42,7,35,26,8,3,11,23,119
1080,波士顿凯尔特人,2018-02-04,胜,主,开拓者96-97凯尔特,41.2%,35,85,41.7%,15,36,70.6%,12,17,51,9,42,24,3,6,11,16,97
1081,波士顿凯尔特人,2018-02-06,负,客,猛龙111-91凯尔特,39.8%,33,83,43.5%,10,23,75.0%,15,20,38,9,29,21,3,3,17,19,91
1082,波士顿凯尔特人,2018-02-08,胜,客,奇才104-110凯尔特,46.4%,39,84,34.6%,9,26,67.6%,23,34,45,7,38,16,9,6,18,20,110
1083,波士顿凯尔特人,2018-02-09,负,主,步行者97-91凯尔特,38.2%,34,89,25.9%,7,27,80.0%,16,20,38,12,26,16,5,9,10,21,91
1084,波士顿凯尔特人,2018-02-11,负,主,骑士121-99凯尔特,40.4%,36,89,26.3%,10,38,77.3%,17,22,43,13,30,22,3,4,14,14,99
1085,波士顿凯尔特人,2018-02-14,负,主,快船129-119凯尔特,43.3%,42,97,48.4%,15,31,95.2%,20,21,46,11,35,24,4,8,8,31,119
1086,波士顿凯尔特人,2018-02-23,胜,客,活塞98-110凯尔特,48.2%,41,85,43.6%,17,39,61.1%,11,18,42,10,32,30,8,5,11,22,110
1087,波士顿凯尔特人,2018-02-24,胜,客,尼克斯112-121凯尔特,45.7%,42,92,39.4%,13,33,85.7%,24,28,45,11,34,21,11,5,12,15,121
1088,波士顿凯尔特人,2018-02-26,胜,主,灰熊98-109凯尔特,45.3%,39,86,32.4%,12,37,70.4%,19,27,44,9,35,25,5,5,8,23,109
1089,波士顿凯尔特人,2018-02-28,胜,主,黄蜂106-134凯尔特,62.1%,54,87,60.0%,12,20,93.3%,14,15,47,4,43,31,3,4,10,20,134
1090,波士顿凯尔特人,2018-03-03,负,客,火箭123-120凯尔特,48.4%,44,91,54.2%,13,24,90.5%,19,21,38,10,28,22,6,3,13,21,120
1091,波士顿凯尔特人,2018-03-05,胜,客,公牛89-105凯尔特,48.8%,41,84,33.3%,12,36,91.7%,11,12,53,12,41,25,7,5,18,13,105
1092,波士顿凯尔特人,2018-03-08,胜,客,森林狼109-117凯尔特,49.4%,43,87,34.4%,11,32,74.1%,20,27,46,9,37,28,7,2,11,17,117
1093,波士顿凯尔特人,2018-03-11,负,主,步行者99-97凯尔特,42.0%,34,81,32.4%,12,37,81.0%,17,21,42,10,32,26,10,5,16,13,97
