" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1201,明尼苏达森林狼,2018-04-05,负,客,掘金100-96森林狼,42.9%,39,91,25.0%,6,24,75.0%,12,16,47,12,35,22,4,1,8,19,96
1202,明尼苏达森林狼,2018-04-06,胜,客,湖人96-113森林狼,43.0%,43,100,30.8%,8,26,73.1%,19,26,48,18,30,25,14,8,5,24,113
1203,明尼苏达森林狼,2018-04-09,胜,主,灰熊94-113森林狼,48.3%,42,87,31.8%,7,22,84.6%,22,26,52,18,34,27,10,7,17,18,113
1204,明尼苏达森林狼,2018-04-11,胜,主,掘金106-112森林狼,47.2%,42,89,39.1%,9,23,76.0%,19,25,40,8,32,24,10,2,8,19,112
1205,明尼苏达森林狼,2018-04-15,负,客,火箭104-101森林狼,43.8%,35,80,34.8%,8,23,82.1%,23,28,47,11,36,22,3,2,13,19,101
1206,明尼苏达森林狼,2018-04-18,负,客,火箭102-82森林狼,38.8%,31,80,27.8%,5,18,71.4%,15,21,52,9,43,15,7,7,16,16,82
1207,明尼苏达森林狼,2018-04-21,胜,主,火箭105-121森林狼,50.0%,45,90,55.6%,15,27,72.7%,16,22,41,8,33,29,9,3,7,16,121
1208,明尼苏达森林狼,2018-04-23,负,主,火箭119-100森林狼,46.4%,39,84,36.4%,8,22,60.9%,14,23,48,10,38,23,4,1,16,22,100
1209,明尼苏达森林狼,2018-04-25,负,客,火箭122-104森林狼,50.6%,40,79,47.4%,9,19,75.0%,15,20,38,5,33,23,2,3,8,18,104
1210,新奥尔良鹈鹕,2017-10-18,负,客,灰熊103-91鹈鹕,38.0%,30,79,28.0%,7,25,82.8%,24,29,51,16,35,15,4,12,18,31,91
1211,新奥尔良鹈鹕,2017-10-20,负,主,勇士128-120鹈鹕,45.9%,45,98,44.4%,16,36,63.6%,14,22,50,16,34,28,8,2,16,19,120
1212,新奥尔良鹈鹕,2017-10-22,胜,客,湖人112-119鹈鹕,56.6%,47,83,31.3%,10,32,71.4%,15,21,42,6,36,26,14,5,18,20,119
1213,新奥尔良鹈鹕,2017-10-24,负,客,开拓者103-93鹈鹕,39.5%,30,76,30.0%,9,30,75.0%,24,32,42,4,38,17,5,7,17,26,93
1214,新奥尔良鹈鹕,2017-10-26,胜,客,国王106-114鹈鹕,48.8%,42,86,40.6%,13,32,73.9%,17,23,47,10,37,22,5,3,15,24,114
1215,新奥尔良鹈鹕,2017-10-28,胜,主,骑士101-123鹈鹕,53.8%,49,91,43.3%,13,30,75.0%,12,16,45,8,37,33,8,4,11,20,123
1216,新奥尔良鹈鹕,2017-10-30,负,主,魔术115-99鹈鹕,45.9%,39,85,25.0%,7,28,77.8%,14,18,43,9,34,30,9,5,19,22,99
1217,新奥尔良鹈鹕,2017-11-01,负,主,森林狼104-98鹈鹕,42.9%,36,84,25.8%,8,31,85.7%,18,21,38,9,29,27,13,4,19,24,98
1218,新奥尔良鹈鹕,2017-11-03,胜,客,独行侠94-99鹈鹕,40.4%,36,89,24.1%,7,29,76.9%,20,26,53,9,44,23,9,4,12,22,99
1219,新奥尔良鹈鹕,2017-11-04,胜,客,公牛90-96鹈鹕,40.2%,35,87,29.0%,9,31,77.3%,17,22,52,5,47,23,9,4,13,9,96
1220,新奥尔良鹈鹕,2017-11-07,胜,客,步行者112-117鹈鹕,50.6%,44,87,40.0%,14,35,68.2%,15,22,43,11,32,23,6,5,12,18,117
1221,新奥尔良鹈鹕,2017-11-09,负,客,猛龙122-118鹈鹕,53.7%,44,82,41.9%,13,31,68.0%,17,25,38,4,34,31,7,4,13,20,118
1222,新奥尔良鹈鹕,2017-11-11,胜,主,快船103-111鹈鹕,53.8%,43,80,37.5%,6,16,79.2%,19,24,51,8,43,26,7,4,23,19,111
1223,新奥尔良鹈鹕,2017-11-13,胜,主,老鹰105-106鹈鹕,54.7%,41,75,39.4%,13,33,64.7%,11,17,38,7,31,31,10,5,19,13,106
1224,新奥尔良鹈鹕,2017-11-15,负,主,猛龙125-116鹈鹕,50.5%,46,91,37.0%,10,27,100.0%,14,14,32,10,22,31,13,3,14,21,116
1225,新奥尔良鹈鹕,2017-11-17,负,客,掘金146-114鹈鹕,52.7%,48,91,36.4%,12,33,60.0%,6,10,29,8,21,32,2,0,13,19,114
1226,新奥尔良鹈鹕,2017-11-20,胜,主,雷霆107-114鹈鹕,51.2%,41,80,28.0%,7,25,78.1%,25,32,49,7,42,26,8,3,19,22,114
1227,新奥尔良鹈鹕,2017-11-22,胜,主,马刺90-107鹈鹕,48.1%,39,81,29.2%,7,24,91.7%,22,24,45,7,38,23,7,2,15,18,107
1228,新奥尔良鹈鹕,2017-11-24,胜,客,太阳91-115鹈鹕,49.5%,45,91,33.3%,9,27,71.4%,15,21,49,13,36,29,10,4,16,18,114
1229,新奥尔良鹈鹕,2017-11-25,负,客,勇士110-95鹈鹕,40.5%,34,84,35.5%,11,31,69.6%,16,23,45,9,36,24,2,9,17,24,95
1230,新奥尔良鹈鹕,2017-11-29,负,主,森林狼120-102鹈鹕,46.4%,39,84,40.0%,14,35,90.9%,10,11,28,8,20,27,8,2,16,17,102
1231,新奥尔良鹈鹕,2017-12-01,负,客,爵士114-108鹈鹕,48.3%,42,87,50.0%,15,30,60.0%,9,15,42,6,36,28,4,7,10,20,108
1232,新奥尔良鹈鹕,2017-12-02,胜,客,开拓者116-123鹈鹕,52.3%,45,86,48.4%,15,31,72.0%,18,25,48,4,44,22,2,3,11,16,123
1233,新奥尔良鹈鹕,2017-12-04,负,主,勇士125-115鹈鹕,49.5%,45,91,41.0%,16,39,60.0%,9,15,47,11,36,33,11,4,21,26,115
1234,新奥尔良鹈鹕,2017-12-06,胜,主,掘金114-123鹈鹕,53.5%,46,86,38.7%,12,31,65.5%,19,29,49,11,38,28,4,5,11,19,123
1235,新奥尔良鹈鹕,2017-12-08,负,主,国王116-109鹈鹕,46.1%,41,89,35.7%,10,28,89.5%,17,19,35,7,28,19,7,3,17,14,109
1236,新奥尔良鹈鹕,2017-12-10,胜,主," 76人124-131鹈鹕",57.5%,46,80,62.5%,15,24,75.0%,24,32,33,5,28,31,11,9,14,21,131
1237,新奥尔良鹈鹕,2017-12-11,负,客,火箭130-123鹈鹕,57.6%,49,85,54.5%,18,33,53.8%,7,13,41,6,35,32,6,2,18,19,123
1238,新奥尔良鹈鹕,2017-12-13,胜,主,雄鹿108-115鹈鹕,56.3%,45,80,52.0%,13,25,80.0%,12,15,41,9,32,35,5,8,21,16,115
1239,新奥尔良鹈鹕,2017-12-15,负,客,掘金117-111鹈鹕,47.3%,43,91,44.1%,15,34,71.4%,10,14,42,7,35,27,8,8,19,15,111
