" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1351,底特律活塞,2018-02-03,胜,主,热火107-111活塞,52.4%,44,84,34.6%,9,26,82.4%,14,17,49,13,36,23,7,5,17,12,111
1352,底特律活塞,2018-02-05,胜,主,开拓者91-111活塞,50.6%,44,87,50.0%,15,30,66.7%,8,12,51,10,41,36,7,4,15,14,111
1353,底特律活塞,2018-02-07,胜,主,篮网106-115活塞,47.8%,44,92,37.5%,9,24,72.0%,18,25,46,8,38,20,10,3,7,12,115
1354,底特律活塞,2018-02-09,负,主,快船108-95活塞,40.9%,36,88,32.3%,10,31,75.0%,12,16,40,7,33,22,5,5,9,16,94
1355,底特律活塞,2018-02-11,负,客,老鹰118-115活塞,45.8%,38,83,39.4%,13,33,78.8%,26,33,40,12,28,30,6,4,15,28,115
1356,底特律活塞,2018-02-12,负,主,鹈鹕118-103活塞,36.8%,35,95,25.7%,9,35,75.0%,24,32,54,14,40,18,5,3,14,19,103
1357,底特律活塞,2018-02-14,胜,主,老鹰98-104活塞,42.2%,35,83,39.4%,13,33,84.0%,21,25,47,10,37,26,3,5,16,18,104
1358,底特律活塞,2018-02-23,负,主,凯尔特110-98活塞,43.5%,37,85,30.3%,10,33,66.7%,14,21,45,12,33,16,4,4,13,18,98
1359,底特律活塞,2018-02-25,负,客,黄蜂114-98活塞,49.4%,42,85,22.2%,4,18,71.4%,10,14,41,8,33,23,4,3,17,22,98
1360,底特律活塞,2018-02-26,负,客,猛龙123-94活塞,38.3%,36,94,31.8%,7,22,75.0%,15,20,42,13,29,20,11,3,13,22,94
1361,底特律活塞,2018-02-28,胜,主,雄鹿87-110活塞,44.2%,42,95,31.0%,9,29,77.3%,17,22,57,22,35,26,9,0,9,20,110
1362,底特律活塞,2018-03-02,负,客,魔术115-106活塞,43.5%,40,92,41.4%,12,29,58.3%,14,24,43,13,30,22,10,1,14,17,106
1363,底特律活塞,2018-03-03,负,客,热火105-96活塞,41.6%,37,89,29.2%,7,24,71.4%,15,21,46,17,29,18,8,2,18,23,96
1364,底特律活塞,2018-03-05,负,客,骑士112-90活塞,39.1%,34,87,35.3%,12,34,66.7%,10,15,40,8,32,17,9,6,11,22,90
1365,底特律活塞,2018-03-07,负,主,猛龙121-119活塞,49.4%,44,89,50.0%,13,26,78.3%,18,23,50,9,41,27,3,6,17,23,119
1366,底特律活塞,2018-03-09,胜,主,公牛83-99活塞,46.9%,38,81,33.3%,9,27,77.8%,14,18,50,11,39,22,8,9,16,13,99
1367,底特律活塞,2018-03-13,负,客,爵士110-79活塞,37.5%,30,80,20.0%,5,25,73.7%,14,19,32,8,24,14,14,4,17,23,79
1368,底特律活塞,2018-03-15,负,客,掘金120-113活塞,47.8%,44,92,51.9%,14,27,64.7%,11,17,41,9,32,30,8,4,11,20,113
1369,底特律活塞,2018-03-17,负,客,开拓者100-87活塞,38.8%,31,80,40.0%,10,25,75.0%,15,20,43,8,35,17,6,2,12,16,87
1370,底特律活塞,2018-03-19,胜,客,国王90-106活塞,46.8%,37,79,48.3%,14,29,81.8%,18,22,44,6,38,17,6,5,9,11,106
1371,底特律活塞,2018-03-20,胜,客,太阳88-115活塞,44.3%,43,97,41.7%,15,36,87.5%,14,16,50,12,38,22,12,14,8,16,115
1372,底特律活塞,2018-03-22,负,客,火箭100-96活塞,42.1%,40,95,15.8%,6,38,55.6%,10,18,66,16,50,22,9,5,15,17,96
1373,底特律活塞,2018-03-24,胜,主,公牛95-117活塞,49.4%,43,87,38.1%,16,42,83.3%,15,18,49,12,37,33,6,7,13,11,117
1374,底特律活塞,2018-03-26,胜,主,湖人106-112活塞,44.0%,44,100,39.4%,13,33,73.3%,11,15,50,10,40,21,4,2,7,26,112
1375,底特律活塞,2018-03-29,胜,主,奇才92-103活塞,48.8%,41,84,28.6%,6,21,75.0%,15,20,44,10,34,26,9,3,16,14,103
1376,底特律活塞,2018-03-31,胜,客,尼克斯109-115活塞,51.8%,44,85,41.7%,10,24,77.3%,17,22,43,10,33,24,8,5,9,15,115
1377,底特律活塞,2018-04-01,胜,客,篮网96-108活塞,45.2%,38,84,36.8%,7,19,78.1%,25,32,53,10,43,17,9,3,9,16,108
1378,底特律活塞,2018-04-04,负,主," 76人115-108活塞",44.3%,39,88,44.4%,16,36,60.9%,14,23,42,9,33,30,4,5,17,19,108
1379,底特律活塞,2018-04-06,胜,主,独行侠106-113活塞,50.0%,46,92,40.0%,12,30,52.9%,9,17,49,6,43,24,6,4,11,19,113
1380,底特律活塞,2018-04-08,负,客,灰熊130-117活塞,40.9%,38,93,48.9%,23,47,78.3%,18,23,38,14,24,30,10,0,12,18,117
