" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1501,密尔沃基雄鹿,2018-01-05,负,主,猛龙129-110雄鹿,53.2%,41,77,41.2%,7,17,72.4%,21,29,28,5,23,26,4,4,11,23,110
1502,密尔沃基雄鹿,2018-01-06,胜,客,奇才103-110雄鹿,48.8%,39,80,31.8%,7,22,83.3%,25,30,45,10,35,20,11,6,15,26,110
1503,密尔沃基雄鹿,2018-01-08,负,客,步行者109-96雄鹿,45.9%,34,74,25.9%,7,27,77.8%,21,27,34,5,29,18,11,4,17,24,96
1504,密尔沃基雄鹿,2018-01-10,胜,主,魔术103-110雄鹿,55.6%,45,81,21.1%,4,19,64.0%,16,25,46,10,36,20,4,9,14,21,110
1505,密尔沃基雄鹿,2018-01-12,负,主,勇士108-94雄鹿,42.4%,36,85,39.3%,11,28,91.7%,11,12,34,8,26,21,8,7,12,20,94
1506,密尔沃基雄鹿,2018-01-14,负,客,热火97-79雄鹿,31.6%,25,79,14.3%,4,28,92.6%,25,27,40,8,32,9,8,1,15,23,79
1507,密尔沃基雄鹿,2018-01-15,胜,客,奇才95-104雄鹿,46.9%,38,81,50.0%,8,16,69.0%,20,29,44,15,29,21,14,6,17,25,104
1508,密尔沃基雄鹿,2018-01-17,负,主,热火106-101雄鹿,43.4%,33,76,39.3%,11,28,75.0%,24,32,39,6,33,23,5,4,9,25,101
1509,密尔沃基雄鹿,2018-01-20,负,客," 76人116-94雄鹿",40.2%,33,82,31.3%,10,32,81.8%,18,22,35,8,27,20,10,3,17,20,94
1510,密尔沃基雄鹿,2018-01-22,胜,主,太阳105-109雄鹿,53.5%,38,71,29.4%,5,17,75.7%,28,37,32,8,24,20,14,5,17,22,109
1511,密尔沃基雄鹿,2018-01-26,胜,主,篮网91-116雄鹿,51.8%,43,83,52.2%,12,23,90.0%,18,20,44,3,41,28,9,6,9,17,116
1512,密尔沃基雄鹿,2018-01-28,胜,客,公牛96-110雄鹿,53.2%,41,77,46.4%,13,28,60.0%,15,25,43,7,36,28,11,4,14,16,110
1513,密尔沃基雄鹿,2018-01-29,胜,主," 76人95-107雄鹿",47.5%,38,80,39.3%,11,28,90.9%,20,22,42,8,34,26,6,8,9,19,107
