" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1651,奥兰多魔术,2017-11-18,负,主,爵士125-85魔术,38.3%,31,81,27.6%,8,29,65.2%,15,23,46,11,35,13,10,5,16,20,85
1652,奥兰多魔术,2017-11-20,负,主,步行者105-97魔术,41.7%,35,84,34.2%,13,38,60.9%,14,23,50,11,39,23,6,7,22,20,97
1653,奥兰多魔术,2017-11-22,负,客,森林狼124-118魔术,50.5%,46,91,32.4%,12,37,63.6%,14,22,44,7,37,28,4,4,14,31,118
1654,奥兰多魔术,2017-11-24,负,客,凯尔特118-103魔术,43.2%,41,95,37.5%,9,24,63.2%,12,19,51,16,35,21,6,4,12,16,103
1655,奥兰多魔术,2017-11-25,负,客," 76人130-111魔术",45.3%,39,86,38.7%,12,31,67.7%,21,31,41,7,34,22,8,5,9,17,111
1656,奥兰多魔术,2017-11-27,负,客,步行者121-109魔术,43.5%,40,92,39.0%,16,41,81.3%,13,16,35,10,25,22,4,9,14,23,109
1657,奥兰多魔术,2017-11-29,胜,主,雷霆108-121魔术,59.2%,45,76,43.3%,13,30,69.2%,18,26,37,2,35,28,9,7,13,22,121
1658,奥兰多魔术,2017-12-01,负,主,勇士133-112魔术,45.8%,44,96,39.3%,11,28,72.2%,13,18,35,13,22,23,9,4,14,15,112
1659,奥兰多魔术,2017-12-03,胜,客,尼克斯100-105魔术,45.1%,37,82,21.4%,6,28,86.2%,25,29,42,8,34,19,8,3,10,11,105
1660,奥兰多魔术,2017-12-04,负,客,黄蜂104-94魔术,43.9%,36,82,31.3%,10,32,85.7%,12,14,40,5,35,24,5,5,20,30,94
1661,奥兰多魔术,2017-12-06,胜,主,老鹰106-110魔术,46.9%,46,98,21.4%,6,28,66.7%,12,18,52,13,39,17,9,7,16,23,110
1662,奥兰多魔术,2017-12-08,负,主,掘金103-89魔术,39.8%,33,83,23.8%,5,21,78.3%,18,23,42,11,31,18,5,7,14,17,89
1663,奥兰多魔术,2017-12-09,负,客,老鹰117-110魔术,48.9%,45,92,38.2%,13,34,87.5%,7,8,39,10,29,39,7,2,12,24,110
1664,奥兰多魔术,2017-12-13,负,主,快船106-95魔术,42.0%,37,88,33.3%,9,27,57.1%,12,21,45,7,38,24,6,6,12,13,95
1665,奥兰多魔术,2017-12-15,负,主,开拓者95-88魔术,38.1%,32,84,34.5%,10,29,73.7%,14,19,45,8,37,15,7,3,15,18,88
1666,奥兰多魔术,2017-12-17,负,客,活塞114-110魔术,48.2%,41,85,51.5%,17,33,64.7%,11,17,40,8,32,27,6,3,16,16,110
1667,奥兰多魔术,2017-12-20,负,客,公牛112-94魔术,39.3%,35,89,18.5%,5,27,82.6%,19,23,35,6,29,23,5,1,9,15,94
1668,奥兰多魔术,2017-12-22,负,主,鹈鹕111-97魔术,42.4%,36,85,20.0%,4,20,72.4%,21,29,40,10,30,16,7,2,14,19,97
1669,奥兰多魔术,2017-12-23,负,客,奇才130-103魔术,48.3%,42,87,30.8%,8,26,64.7%,11,17,28,4,24,17,7,3,12,22,103
1670,奥兰多魔术,2017-12-26,负,客,热火107-89魔术,40.7%,33,81,25.0%,5,20,81.8%,18,22,42,10,32,14,8,5,17,20,89
1671,奥兰多魔术,2017-12-28,胜,主,活塞89-102魔术,45.1%,37,82,42.3%,11,26,100.0%,17,17,48,9,39,22,10,3,18,18,102
1672,奥兰多魔术,2017-12-30,负,主,热火117-111魔术,54.3%,44,81,44.4%,12,27,73.3%,11,15,37,9,28,31,2,9,12,20,111
1673,奥兰多魔术,2018-01-01,负,客,篮网98-95魔术,36.5%,35,96,19.4%,6,31,76.0%,19,25,52,19,33,16,5,5,12,18,95
1674,奥兰多魔术,2018-01-03,负,主,火箭116-98魔术,38.5%,35,91,19.4%,6,31,88.0%,22,25,48,9,39,16,7,3,12,19,98
1675,奥兰多魔术,2018-01-06,负,主,骑士131-127魔术,50.0%,49,98,37.8%,14,37,68.2%,15,22,46,14,32,29,5,2,19,28,127
1676,奥兰多魔术,2018-01-09,负,客,独行侠114-99魔术,45.6%,36,79,37.9%,11,29,72.7%,16,22,42,9,33,27,2,4,13,23,99
1677,奥兰多魔术,2018-01-10,负,客,雄鹿110-103魔术,43.3%,39,90,27.6%,8,29,94.4%,17,18,34,8,26,26,6,4,8,21,103
1678,奥兰多魔术,2018-01-12,负,客,奇才125-119魔术,51.2%,41,80,41.4%,12,29,80.6%,25,31,40,12,28,32,7,3,15,21,119
1679,奥兰多魔术,2018-01-16,胜,主,森林狼102-108魔术,44.4%,40,90,35.5%,11,31,89.5%,17,19,51,15,36,24,4,10,16,15,108
1680,奥兰多魔术,2018-01-18,负,客,骑士104-103魔术,46.6%,41,88,22.7%,5,22,76.2%,16,21,43,10,33,25,11,6,14,22,103
1681,奥兰多魔术,2018-01-21,胜,客,凯尔特95-103魔术,46.7%,43,92,28.6%,6,21,68.8%,11,16,44,13,31,20,7,9,10,19,103
1682,奥兰多魔术,2018-01-23,负,主,国王105-99魔术,43.4%,36,83,35.5%,11,31,84.2%,16,19,40,11,29,23,9,4,17,17,99
1683,奥兰多魔术,2018-01-27,负,客,步行者114-112魔术,54.5%,42,77,32.0%,8,25,62.5%,20,32,40,13,27,21,6,7,14,18,112
1684,奥兰多魔术,2018-01-30,负,客,火箭114-107魔术,50.6%,42,83,48.4%,15,31,80.0%,8,10,33,7,26,26,6,4,10,22,107
1685,奥兰多魔术,2018-01-31,胜,主,湖人105-127魔术,54.3%,44,81,56.3%,18,32,72.4%,21,29,35,4,31,28,13,4,14,23,127
