" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1801,多伦多猛龙,2018-04-17,胜,主,奇才119-130猛龙,51.7%,45,87,37.1%,13,35,81.8%,27,33,48,9,39,24,5,8,14,27,130
1802,多伦多猛龙,2018-04-20,负,客,奇才122-103猛龙,45.1%,37,82,42.9%,12,28,89.5%,17,19,34,8,26,20,8,4,18,19,103
1803,多伦多猛龙,2018-04-22,负,客,奇才106-98猛龙,43.0%,34,79,38.9%,7,18,76.7%,23,30,41,9,32,19,9,7,18,26,98
1804,多伦多猛龙,2018-04-25,胜,主,奇才98-108猛龙,46.3%,38,82,44.0%,11,25,75.0%,21,28,35,6,29,26,9,5,10,18,108
1805,多伦多猛龙,2018-04-27,胜,客,奇才92-102猛龙,44.4%,40,90,28.0%,7,25,78.9%,15,19,47,16,31,18,8,6,6,20,102
1806,多伦多猛龙,2018-05-01,负,主,骑士113-112猛龙,42.9%,39,91,32.1%,9,28,80.6%,25,31,50,15,35,26,2,6,13,22,112
1807,多伦多猛龙,2018-05-03,负,主,骑士128-110猛龙,54.3%,44,81,40.0%,12,30,90.9%,10,11,35,5,30,26,2,2,11,24,110
1808,多伦多猛龙,2018-05-05,负,客,骑士105-103猛龙,46.7%,35,75,39.4%,13,33,80.0%,20,25,41,12,29,14,5,11,17,28,103
1809,多伦多猛龙,2018-05-07,负,客,骑士128-93猛龙,45.6%,36,79,26.7%,4,15,73.9%,17,23,32,9,23,19,3,5,13,24,93
1810,夏洛特黄蜂,2017-10-18,负,客,活塞102-90黄蜂,39.7%,29,73,30.0%,9,30,79.3%,23,29,47,3,44,16,4,3,17,15,90
1811,夏洛特黄蜂,2017-10-20,胜,主,老鹰91-109黄蜂,43.0%,37,86,30.6%,11,36,80.0%,24,30,57,12,45,17,5,4,21,18,109
1812,夏洛特黄蜂,2017-10-23,负,客,雄鹿103-94黄蜂,42.3%,33,78,26.9%,7,26,58.3%,21,36,48,10,38,17,3,5,14,21,94
1813,夏洛特黄蜂,2017-10-25,胜,主,掘金93-110黄蜂,47.5%,38,80,43.3%,13,30,80.8%,21,26,49,9,40,18,5,5,14,16,110
1814,夏洛特黄蜂,2017-10-27,负,主,火箭109-93黄蜂,37.5%,33,88,37.9%,11,29,57.1%,16,28,44,11,33,16,6,5,9,14,93
1815,夏洛特黄蜂,2017-10-29,胜,主,魔术113-120黄蜂,54.1%,53,98,33.3%,6,18,47.1%,8,17,59,12,47,31,6,7,16,24,120
1816,夏洛特黄蜂,2017-10-30,胜,客,灰熊99-104黄蜂,41.6%,37,89,41.2%,7,17,79.3%,23,29,56,10,46,15,3,7,11,22,104
1817,夏洛特黄蜂,2017-11-01,胜,主,雄鹿121-126黄蜂,53.6%,45,84,56.0%,14,25,75.9%,22,29,41,7,34,21,5,3,11,18,126
1818,夏洛特黄蜂,2017-11-03,负,客,马刺108-101黄蜂,41.3%,33,80,33.3%,8,24,64.3%,27,42,46,11,35,16,11,1,12,20,101
1819,夏洛特黄蜂,2017-11-05,负,客,森林狼112-94黄蜂,42.5%,37,87,32.1%,9,28,52.4%,11,21,38,8,30,24,8,3,11,24,94
1820,夏洛特黄蜂,2017-11-07,负,客,尼克斯118-113黄蜂,46.2%,42,91,40.5%,15,37,82.4%,14,17,40,17,23,24,8,2,13,22,113
1821,夏洛特黄蜂,2017-11-10,负,客,凯尔特90-87黄蜂,38.8%,31,80,27.3%,6,22,57.6%,19,33,47,7,40,20,5,7,14,21,87
1822,夏洛特黄蜂,2017-11-15,负,主,骑士115-107黄蜂,47.7%,41,86,23.1%,6,26,67.9%,19,28,42,8,34,21,7,7,13,19,107
1823,夏洛特黄蜂,2017-11-17,负,客,公牛123-120黄蜂,51.9%,42,81,47.6%,10,21,76.5%,26,34,42,5,37,19,3,2,12,15,120
1824,夏洛特黄蜂,2017-11-18,胜,主,快船87-102黄蜂,39.1%,34,87,42.3%,11,26,79.3%,23,29,49,8,41,20,7,9,8,16,102
1825,夏洛特黄蜂,2017-11-20,胜,主,森林狼102-118黄蜂,49.4%,42,85,42.3%,11,26,79.3%,23,29,52,11,41,22,5,7,17,18,118
1826,夏洛特黄蜂,2017-11-22,胜,主,奇才124-129黄蜂,47.3%,43,91,35.7%,10,28,82.5%,33,40,48,14,34,23,5,5,11,20,129
1827,夏洛特黄蜂,2017-11-24,负,客,骑士100-99黄蜂,38.3%,36,94,37.9%,11,29,59.3%,16,27,55,15,40,25,4,3,9,17,99
1828,夏洛特黄蜂,2017-11-25,负,主,马刺106-86黄蜂,36.9%,31,84,16.0%,4,25,76.9%,20,26,42,14,28,20,7,3,14,19,86
1829,夏洛特黄蜂,2017-11-29,负,客,猛龙126-113黄蜂,46.8%,37,79,47.4%,9,19,85.7%,30,35,36,7,29,26,6,2,12,17,113
1830,夏洛特黄蜂,2017-12-01,负,客,热火105-100黄蜂,48.1%,38,79,25.0%,5,20,90.5%,19,21,40,10,30,21,9,5,22,24,100
1831,夏洛特黄蜂,2017-12-04,胜,主,魔术94-104黄蜂,40.5%,34,84,17.6%,3,17,82.5%,33,40,52,11,41,17,13,5,14,18,104
1832,夏洛特黄蜂,2017-12-06,负,主,勇士101-87黄蜂,35.1%,34,97,31.6%,6,19,76.5%,13,17,49,14,35,17,5,3,12,13,87
1833,夏洛特黄蜂,2017-12-08,负,主,公牛119-111黄蜂,40.0%,40,100,34.5%,10,29,72.4%,21,29,50,9,41,22,7,11,11,21,111
1834,夏洛特黄蜂,2017-12-09,负,主,湖人110-99黄蜂,44.1%,41,93,32.0%,8,25,64.3%,9,14,43,9,34,21,7,3,11,21,99
1835,夏洛特黄蜂,2017-12-11,胜,客,雷霆103-116黄蜂,53.1%,43,81,52.0%,13,25,70.8%,17,24,41,9,32,22,8,4,13,20,116
1836,夏洛特黄蜂,2017-12-13,负,客,火箭108-96黄蜂,41.4%,36,87,19.0%,4,21,74.1%,20,27,56,12,44,14,4,5,12,15,96
