" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
1951,圣安东尼奥马刺,2018-02-23,负,客,掘金122-119马刺,50.6%,43,85,31.3%,5,16,71.8%,28,39,38,11,27,28,4,4,7,20,119
1952,圣安东尼奥马刺,2018-02-25,胜,客,骑士94-110马刺,44.2%,38,86,47.4%,9,19,78.1%,25,32,44,10,34,22,11,9,9,12,110
1953,圣安东尼奥马刺,2018-02-28,负,主,鹈鹕121-116马刺,48.5%,48,99,34.6%,9,26,78.6%,11,14,47,13,34,23,7,9,11,15,116
1954,圣安东尼奥马刺,2018-03-03,负,主,湖人116-112马刺,44.9%,44,98,23.3%,7,30,85.0%,17,20,50,12,38,28,10,5,16,19,112
1955,圣安东尼奥马刺,2018-03-05,胜,主,灰熊98-100马刺,46.1%,35,76,27.3%,6,22,77.4%,24,31,36,4,32,18,14,4,11,10,100
1956,圣安东尼奥马刺,2018-03-08,负,客,勇士110-107马刺,45.3%,43,95,27.3%,6,22,83.3%,15,18,45,10,35,29,7,3,12,20,107
1957,圣安东尼奥马刺,2018-03-10,负,客,雷霆104-94马刺,46.5%,40,86,50.0%,10,20,57.1%,4,7,43,6,37,26,6,4,14,22,94
1958,圣安东尼奥马刺,2018-03-12,负,客,火箭109-93马刺,40.7%,33,81,39.3%,11,28,69.6%,16,23,36,7,29,20,5,2,13,17,93
1959,圣安东尼奥马刺,2018-03-13,胜,主,魔术72-108马刺,47.6%,40,84,47.4%,9,19,82.6%,19,23,48,11,37,24,10,7,12,13,108
1960,圣安东尼奥马刺,2018-03-15,胜,主,鹈鹕93-98马刺,37.4%,37,99,26.9%,7,26,89.5%,17,19,52,15,37,16,10,11,10,14,98
1961,圣安东尼奥马刺,2018-03-17,胜,主,森林狼101-117马刺,51.0%,49,96,23.1%,6,26,92.9%,13,14,41,14,27,32,11,8,5,17,117
1962,圣安东尼奥马刺,2018-03-19,胜,主,勇士75-89马刺,40.2%,33,82,34.8%,8,23,71.4%,15,21,48,11,37,21,6,5,14,20,89
1963,圣安东尼奥马刺,2018-03-21,胜,主,奇才90-98马刺,49.4%,39,79,30.4%,7,23,72.2%,13,18,42,12,30,21,7,10,15,17,98
1964,圣安东尼奥马刺,2018-03-23,胜,主,爵士120-124马刺,51.1%,47,92,41.2%,7,17,85.2%,23,27,49,11,38,21,9,7,13,25,124
