" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
2101,华盛顿奇才,2017-12-25,胜,客,凯尔特103-111奇才,46.2%,43,93,23.1%,6,26,67.9%,19,28,47,14,33,26,6,4,8,17,111
2102,华盛顿奇才,2017-12-27,负,客,老鹰113-99奇才,43.2%,35,81,37.5%,9,24,76.9%,20,26,40,9,31,24,6,5,13,24,99
2103,华盛顿奇才,2017-12-29,胜,主,火箭103-121奇才,53.4%,47,88,50.0%,18,36,75.0%,9,12,45,10,35,23,12,5,16,15,121
2104,华盛顿奇才,2017-12-31,胜,主,公牛110-114奇才,46.2%,43,93,44.4%,16,36,70.6%,12,17,47,13,34,27,7,6,10,24,114
2105,华盛顿奇才,2018-01-03,胜,主,尼克斯103-121奇才,59.3%,48,81,39.1%,9,23,61.5%,16,26,42,6,36,27,9,5,12,21,121
2106,华盛顿奇才,2018-01-05,胜,客,灰熊100-102奇才,39.3%,33,84,37.0%,10,27,76.5%,26,34,48,12,36,21,7,7,13,23,102
2107,华盛顿奇才,2018-01-06,负,主,雄鹿110-103奇才,47.4%,37,78,38.1%,8,21,72.4%,21,29,34,4,30,25,6,6,14,22,103
2108,华盛顿奇才,2018-01-10,负,主,爵士107-104奇才,52.6%,41,78,40.0%,10,25,75.0%,12,16,45,9,36,25,8,1,23,17,104
2109,华盛顿奇才,2018-01-12,胜,主,魔术119-125奇才,56.8%,54,95,25.0%,4,16,68.4%,13,19,41,14,27,26,9,6,11,22,125
2110,华盛顿奇才,2018-01-13,胜,主,篮网113-119奇才,49.5%,46,93,43.5%,10,23,73.9%,17,23,47,6,41,31,10,3,15,19,119
2111,华盛顿奇才,2018-01-15,负,主,雄鹿104-95奇才,42.1%,32,76,28.6%,6,21,80.6%,25,31,39,11,28,19,10,8,23,22,95
2112,华盛顿奇才,2018-01-17,负,客,黄蜂133-109奇才,48.8%,40,82,56.5%,13,23,69.6%,16,23,40,7,33,31,3,7,16,23,109
2113,华盛顿奇才,2018-01-19,胜,客,活塞112-122奇才,50.0%,41,82,45.7%,16,35,88.9%,24,27,34,8,26,28,10,4,13,20,122
2114,华盛顿奇才,2018-01-22,负,客,独行侠98-75奇才,30.6%,26,85,21.9%,7,32,59.3%,16,27,45,16,29,15,8,4,12,18,75
2115,华盛顿奇才,2018-01-25,负,客,雷霆121-112奇才,48.8%,42,86,45.7%,16,35,75.0%,12,16,39,12,27,25,10,2,23,25,112
2116,华盛顿奇才,2018-01-27,胜,客,老鹰104-129奇才,57.6%,49,85,56.3%,18,32,92.9%,13,14,39,7,32,40,6,7,12,21,129
2117,华盛顿奇才,2018-01-30,胜,主,雷霆96-102奇才,38.2%,34,89,28.0%,7,25,93.1%,27,29,43,7,36,27,8,7,12,28,102
2118,华盛顿奇才,2018-02-01,胜,主,猛龙119-122奇才,51.8%,44,85,33.3%,10,30,92.3%,24,26,44,12,32,30,10,2,16,21,122
2119,华盛顿奇才,2018-02-03,胜,客,魔术98-115奇才,54.1%,46,85,26.9%,7,26,88.9%,16,18,38,12,26,35,14,6,14,19,115
2120,华盛顿奇才,2018-02-05,胜,客,步行者102-111奇才,54.9%,45,82,28.0%,7,25,82.4%,14,17,43,7,36,29,7,1,13,23,111
2121,华盛顿奇才,2018-02-06,负,客," 76人115-102奇才",44.1%,41,93,25.9%,7,27,72.2%,13,18,39,16,23,23,14,1,11,18,102
2122,华盛顿奇才,2018-02-08,负,主,凯尔特110-104奇才,40.0%,38,95,46.2%,12,26,80.0%,16,20,52,17,35,28,11,4,20,23,104
2123,华盛顿奇才,2018-02-10,胜,客,公牛90-101奇才,46.3%,38,82,34.2%,13,38,85.7%,12,14,41,6,35,31,8,3,13,17,101
2124,华盛顿奇才,2018-02-14,胜,客,尼克斯113-118奇才,54.5%,48,88,31.8%,7,22,78.9%,15,19,45,6,39,31,7,9,11,16,118
2125,华盛顿奇才,2018-02-22,胜,客,骑士103-110奇才,47.8%,44,92,40.0%,12,30,100.0%,10,10,43,9,34,29,9,3,10,23,110
2126,华盛顿奇才,2018-02-23,负,主,黄蜂122-105奇才,49.4%,40,81,36.0%,9,25,94.1%,16,17,36,6,30,25,3,0,14,21,105
2127,华盛顿奇才,2018-02-25,胜,主," 76人94-109奇才",54.4%,43,79,48.0%,12,25,91.7%,11,12,48,10,38,35,9,6,19,28,109
2128,华盛顿奇才,2018-02-27,胜,客,雄鹿104-107奇才,47.7%,42,88,35.0%,7,20,72.7%,16,22,40,9,31,30,9,6,11,22,107
2129,华盛顿奇才,2018-02-28,负,主,勇士109-101奇才,40.0%,36,90,34.4%,11,32,85.7%,18,21,50,18,32,25,7,3,16,24,101
2130,华盛顿奇才,2018-03-02,负,主,猛龙102-95奇才,45.6%,36,79,37.5%,9,24,66.7%,14,21,47,15,32,24,2,5,17,25,95
2131,华盛顿奇才,2018-03-04,负,主,步行者98-95奇才,42.2%,35,83,37.0%,10,27,78.9%,15,19,42,10,32,21,9,2,14,21,95
2132,华盛顿奇才,2018-03-06,胜,主,热火113-117奇才,50.6%,40,79,58.3%,14,24,85.2%,23,27,40,7,33,25,7,2,18,22,117
2133,华盛顿奇才,2018-03-09,胜,客,鹈鹕97-116奇才,47.9%,46,96,34.6%,9,26,75.0%,15,20,49,10,39,34,10,4,12,16,116
2134,华盛顿奇才,2018-03-10,负,客,热火129-102奇才,44.2%,34,77,35.0%,7,20,79.4%,27,34,40,8,32,22,4,2,15,20,102
2135,华盛顿奇才,2018-03-13,负,主,森林狼116-111奇才,51.2%,42,82,40.0%,8,20,76.0%,19,25,39,14,25,26,6,4,11,17,111
2136,华盛顿奇才,2018-03-14,胜,客,凯尔特124-125奇才,47.4%,46,97,37.5%,12,32,75.0%,21,28,52,13,39,29,10,6,19,26,125
2137,华盛顿奇才,2018-03-17,胜,主,步行者102-109奇才,54.8%,40,73,50.0%,10,20,82.6%,19,23,38,6,32,29,9,2,15,17,109
2138,华盛顿奇才,2018-03-21,负,客,马刺98-90奇才,42.2%,35,83,32.0%,8,25,75.0%,12,16,35,9,26,27,11,4,12,16,90
2139,华盛顿奇才,2018-03-23,负,主,掘金108-100奇才,47.5%,38,80,50.0%,14,28,71.4%,10,14,46,8,38,28,3,2,17,21,100
2140,华盛顿奇才,2018-03-25,负,主,尼克斯101-97奇才,42.5%,37,87,31.6%,6,19,73.9%,17,23,46,14,32,25,10,7,14,16,97
2141,华盛顿奇才,2018-03-27,胜,主,马刺106-116奇才,54.1%,46,85,41.7%,10,24,77.8%,14,18,50,10,40,33,5,7,16,27,116
2142,华盛顿奇才,2018-03-29,负,客,活塞103-92奇才,41.6%,37,89,18.8%,6,32,80.0%,12,15,43,12,31,28,9,6,15,19,92
2143,华盛顿奇才,2018-03-31,胜,主,黄蜂93-107奇才,45.5%,40,88,46.2%,18,39,75.0%,9,12,44,11,33,30,11,4,12,23,107
2144,华盛顿奇才,2018-04-01,负,客,公牛113-94奇才,45.7%,37,81,26.7%,8,30,100.0%,12,12,37,6,31,27,5,4,16,12,94
2145,华盛顿奇才,2018-04-03,负,客,火箭120-104奇才,52.8%,38,72,48.0%,12,25,69.6%,16,23,36,3,33,25,6,1,17,21,104
2146,华盛顿奇才,2018-04-05,负,客,骑士119-115奇才,50.0%,47,94,42.9%,9,21,85.7%,12,14,41,12,29,34,8,7,15,23,115
2147,华盛顿奇才,2018-04-06,负,主,老鹰103-97奇才,40.2%,35,87,36.0%,9,25,78.3%,18,23,45,9,36,18,8,4,12,15,97
2148,华盛顿奇才,2018-04-10,胜,主,凯尔特101-113奇才,49.4%,41,83,50.0%,15,30,80.0%,16,20,51,10,41,32,8,3,20,24,113
2149,华盛顿奇才,2018-04-11,负,客,魔术101-92奇才,34.7%,33,95,29.4%,10,34,59.3%,16,27,50,18,32,17,5,1,12,25,92
2150,华盛顿奇才,2018-04-14,负,客,猛龙114-106奇才,47.7%,41,86,38.1%,8,21,88.9%,16,18,35,6,29,29,11,3,13,21,106
2151,华盛顿奇才,2018-04-17,负,客,猛龙130-119奇才,48.8%,42,86,45.5%,10,22,89.3%,25,28,34,4,30,26,7,3,8,24,119
2152,华盛顿奇才,2018-04-20,胜,主,猛龙103-122奇才,55.3%,47,85,43.5%,10,23,90.0%,18,20,39,7,32,29,10,8,11,21,122
2153,华盛顿奇才,2018-04-22,胜,主,猛龙98-106奇才,45.9%,39,85,41.2%,7,17,67.7%,21,31,40,9,31,23,10,8,13,23,106
2154,华盛顿奇才,2018-04-25,负,客,猛龙108-98奇才,41.1%,37,90,19.2%,5,26,86.4%,19,22,50,14,36,21,6,4,15,18,98
2155,华盛顿奇才,2018-04-27,负,主,猛龙102-92奇才,40.5%,32,79,36.4%,8,22,95.2%,20,21,42,11,31,12,3,5,14,19,92
2156,克里夫兰骑士,2017-10-17,胜,主,凯尔特99-102骑士,45.8%,38,83,22.7%,5,22,84.0%,21,25,50,9,41,19,3,4,17,25,102
2157,克里夫兰骑士,2017-10-20,胜,客,雄鹿97-116骑士,54.3%,44,81,42.3%,11,26,100.0%,17,17,44,9,35,25,8,3,16,10,116
2158,克里夫兰骑士,2017-10-21,负,主,魔术114-93骑士,38.4%,33,86,28.0%,7,25,74.1%,20,27,44,11,33,15,4,7,16,14,93
2159,克里夫兰骑士,2017-10-24,胜,主,公牛112-119骑士,51.8%,43,83,42.1%,16,38,77.3%,17,22,39,8,31,28,5,3,9,14,119
2160,克里夫兰骑士,2017-10-25,负,客,篮网112-107骑士,48.1%,39,81,34.3%,12,35,65.4%,17,26,47,9,38,21,5,7,21,17,107
2161,克里夫兰骑士,2017-10-28,负,客,鹈鹕123-101骑士,46.2%,36,78,37.5%,12,32,73.9%,17,23,37,5,32,19,8,2,17,19,101
2162,克里夫兰骑士,2017-10-29,负,主,尼克斯114-95骑士,38.3%,31,81,30.3%,10,33,85.2%,23,27,41,7,34,20,5,5,15,23,95
2163,克里夫兰骑士,2017-11-01,负,主,步行者124-107骑士,50.0%,43,86,22.6%,7,31,70.0%,14,20,41,8,33,25,5,3,15,18,107
2164,克里夫兰骑士,2017-11-03,胜,客,奇才122-130骑士,56.1%,46,82,44.4%,12,27,92.9%,26,28,34,8,26,20,11,4,14,27,130
2165,克里夫兰骑士,2017-11-05,负,主,老鹰117-115骑士,43.8%,42,96,27.8%,10,36,91.3%,21,23,47,15,32,27,6,6,13,29,115
2166,克里夫兰骑士,2017-11-07,胜,主,雄鹿119-124骑士,50.0%,41,82,50.0%,9,18,86.8%,33,38,39,12,27,18,7,4,12,16,124
2167,克里夫兰骑士,2017-11-09,负,客,火箭117-113骑士,55.6%,45,81,44.4%,12,27,78.6%,11,14,26,4,22,24,9,1,19,30,113
2168,克里夫兰骑士,2017-11-11,胜,客,独行侠104-111骑士,43.2%,35,81,38.7%,12,31,82.9%,29,35,53,10,43,18,8,3,17,18,111
2169,克里夫兰骑士,2017-11-13,胜,客,尼克斯101-104骑士,39.8%,35,88,35.6%,16,45,81.8%,18,22,48,14,34,21,7,7,21,21,104
2170,克里夫兰骑士,2017-11-15,胜,客,黄蜂107-115骑士,43.3%,42,97,34.2%,13,38,90.0%,18,20,51,16,35,25,9,4,13,24,115
2171,克里夫兰骑士,2017-11-17,胜,主,快船113-118骑士,46.7%,42,90,33.3%,11,33,79.3%,23,29,51,8,43,24,9,4,15,20,118
2172,克里夫兰骑士,2017-11-20,胜,客,活塞88-116骑士,52.5%,42,80,48.5%,16,33,94.1%,16,17,42,7,35,28,4,2,11,14,116
2173,克里夫兰骑士,2017-11-22,胜,主,篮网109-119骑士,51.8%,43,83,41.2%,14,34,70.4%,19,27,33,4,29,21,8,2,10,19,119
2174,克里夫兰骑士,2017-11-24,胜,主,黄蜂99-100骑士,45.8%,38,83,33.3%,13,39,73.3%,11,15,45,3,42,25,4,7,12,24,100
2175,克里夫兰骑士,2017-11-27,胜,客," 76人91-113骑士",48.2%,41,85,40.5%,15,37,80.0%,16,20,45,10,35,25,7,3,11,21,113
2176,克里夫兰骑士,2017-11-28,胜,主,热火97-108骑士,49.4%,40,81,33.3%,11,33,73.9%,17,23,45,5,40,21,12,2,12,17,108
2177,克里夫兰骑士,2017-11-30,胜,客,老鹰114-121骑士,51.9%,41,79,46.2%,18,39,77.8%,21,27,40,12,28,30,9,5,19,20,121
2178,克里夫兰骑士,2017-12-02,胜,主,灰熊111-116骑士,56.0%,42,75,45.8%,11,24,91.3%,21,23,31,1,30,24,8,7,10,14,116
2179,克里夫兰骑士,2017-12-04,胜,客,公牛91-113骑士,51.9%,42,81,36.1%,13,36,94.1%,16,17,46,5,41,22,6,2,7,13,113
2180,克里夫兰骑士,2017-12-06,胜,主,国王95-101骑士,47.4%,37,78,35.9%,14,39,61.9%,13,21,43,7,36,28,5,3,15,10,101
2181,克里夫兰骑士,2017-12-08,负,客,步行者106-102骑士,43.0%,37,86,30.6%,11,36,77.3%,17,22,44,9,35,23,4,4,10,23,102
2182,克里夫兰骑士,2017-12-09,胜,主," 76人98-105骑士",48.0%,36,75,48.3%,14,29,79.2%,19,24,33,6,27,26,12,2,17,16,105
2183,克里夫兰骑士,2017-12-12,胜,主,老鹰114-123骑士,55.8%,48,86,52.6%,20,38,70.0%,7,10,37,6,31,35,5,2,13,18,123
