" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
2251,俄克拉荷马雷霆,2017-10-19,胜,主,尼克斯84-105雷霆,43.3%,39,90,28.9%,11,38,72.7%,16,22,41,13,28,26,14,7,18,22,105
2252,俄克拉荷马雷霆,2017-10-21,负,客,爵士95-87雷霆,41.0%,32,78,33.3%,11,33,63.2%,12,19,38,8,30,15,14,4,17,16,87
2253,俄克拉荷马雷霆,2017-10-22,负,主,森林狼115-113雷霆,47.9%,46,96,35.5%,11,31,62.5%,10,16,36,9,27,26,9,6,11,22,113
2254,俄克拉荷马雷霆,2017-10-25,胜,主,步行者96-114雷霆,48.3%,43,89,37.0%,10,27,69.2%,18,26,49,16,33,26,8,8,20,27,114
2255,俄克拉荷马雷霆,2017-10-27,负,客,森林狼119-116雷霆,50.0%,43,86,28.6%,8,28,88.0%,22,25,35,11,24,19,8,9,14,29,116
2256,俄克拉荷马雷霆,2017-10-28,胜,客,公牛69-101雷霆,44.3%,39,88,38.2%,13,34,71.4%,10,14,52,11,41,28,16,8,11,17,101
2257,俄克拉荷马雷霆,2017-10-31,胜,客,雄鹿91-110雷霆,49.4%,40,81,42.9%,12,28,85.7%,18,21,46,9,37,23,6,3,15,20,110
2258,俄克拉荷马雷霆,2017-11-03,负,主,凯尔特101-94雷霆,40.2%,35,87,37.1%,13,35,78.6%,11,14,48,11,37,20,4,7,12,18,94
2259,俄克拉荷马雷霆,2017-11-05,负,客,开拓者103-99雷霆,44.9%,40,89,33.3%,11,33,53.3%,8,15,32,6,26,17,11,2,13,27,99
2260,俄克拉荷马雷霆,2017-11-07,负,客,国王94-86雷霆,33.7%,29,86,27.0%,10,37,78.3%,18,23,44,9,35,15,16,2,14,17,86
2261,俄克拉荷马雷霆,2017-11-09,负,客,掘金102-94雷霆,42.2%,38,90,36.7%,11,30,50.0%,7,14,44,18,26,16,15,7,16,23,94
2262,俄克拉荷马雷霆,2017-11-10,胜,主,快船111-120雷霆,51.3%,40,78,42.3%,11,26,72.5%,29,40,40,11,29,23,8,7,12,29,120
2263,俄克拉荷马雷霆,2017-11-12,胜,主,独行侠99-112雷霆,50.0%,36,72,46.9%,15,32,78.1%,25,32,37,3,34,21,10,4,15,23,112
2264,俄克拉荷马雷霆,2017-11-15,胜,主,公牛79-92雷霆,36.1%,26,72,26.7%,8,30,86.5%,32,37,48,11,37,15,7,2,13,19,92
2265,俄克拉荷马雷霆,2017-11-17,负,客,马刺104-101雷霆,43.8%,39,89,39.1%,9,23,66.7%,14,21,41,13,28,24,7,3,8,22,101
2266,俄克拉荷马雷霆,2017-11-20,负,客,鹈鹕114-107雷霆,42.7%,38,89,31.4%,11,35,76.9%,20,26,40,9,31,22,14,2,14,25,107
2267,俄克拉荷马雷霆,2017-11-22,胜,主,勇士91-108雷霆,45.6%,41,90,32.0%,8,25,69.2%,18,26,50,13,37,16,15,5,16,21,108
2268,俄克拉荷马雷霆,2017-11-24,负,主,活塞99-98雷霆,42.9%,42,98,25.0%,8,32,75.0%,6,8,45,13,32,22,13,6,14,12,98
2269,俄克拉荷马雷霆,2017-11-25,负,客,独行侠97-81雷霆,36.3%,29,80,37.1%,13,35,76.9%,10,13,39,8,31,24,12,1,17,16,81
2270,俄克拉荷马雷霆,2017-11-29,负,客,魔术121-108雷霆,39.6%,38,96,37.5%,12,32,66.7%,20,30,48,21,27,17,8,5,13,20,108
2271,俄克拉荷马雷霆,2017-12-01,胜,主,森林狼107-111雷霆,51.9%,41,79,30.8%,8,26,95.5%,21,22,42,13,29,28,7,8,18,24,111
2272,俄克拉荷马雷霆,2017-12-03,胜,主,马刺87-90雷霆,42.5%,37,87,27.3%,6,22,47.6%,10,21,47,15,32,21,8,2,20,19,90
2273,俄克拉荷马雷霆,2017-12-05,胜,主,爵士94-100雷霆,48.1%,39,81,22.2%,4,18,69.2%,18,26,46,12,34,18,11,6,18,18,100
2274,俄克拉荷马雷霆,2017-12-07,负,客,篮网100-95雷霆,38.8%,38,98,29.2%,7,24,52.2%,12,23,54,17,37,18,6,3,12,25,95
