" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
2401,休斯顿火箭,2018-03-06,胜,客,雷霆112-122火箭,53.5%,38,71,51.5%,17,33,85.3%,29,34,37,7,30,25,11,7,21,20,122
2402,休斯顿火箭,2018-03-07,胜,客,雄鹿99-110火箭,47.6%,39,82,35.0%,14,40,66.7%,18,27,47,12,35,22,9,5,16,21,110
2403,休斯顿火箭,2018-03-09,负,客,猛龙108-105火箭,49.4%,40,81,33.3%,9,27,69.6%,16,23,36,7,29,15,9,3,13,13,105
2404,休斯顿火箭,2018-03-11,胜,客,独行侠82-105火箭,46.4%,39,84,37.8%,17,45,71.4%,10,14,45,6,39,21,5,5,11,22,105
2405,休斯顿火箭,2018-03-12,胜,主,马刺93-109火箭,48.8%,39,80,29.5%,13,44,78.3%,18,23,50,9,41,24,6,4,15,24,109
2406,休斯顿火箭,2018-03-15,胜,主,快船96-101火箭,38.9%,35,90,29.3%,12,41,82.6%,19,23,50,16,34,20,4,9,11,13,101
2407,休斯顿火箭,2018-03-17,胜,客,鹈鹕101-107火箭,42.4%,39,92,36.6%,15,41,77.8%,14,18,44,13,31,19,10,5,8,19,107
2408,休斯顿火箭,2018-03-18,胜,客,森林狼120-129火箭,55.1%,43,78,45.7%,16,35,75.0%,27,36,33,8,25,28,7,8,11,26,129
2409,休斯顿火箭,2018-03-20,胜,客,开拓者111-115火箭,48.1%,38,79,52.8%,19,36,69.0%,20,29,38,7,31,18,3,4,9,23,115
2410,休斯顿火箭,2018-03-22,胜,主,活塞96-100火箭,35.4%,35,99,23.5%,12,51,64.3%,18,28,52,12,40,19,9,3,12,19,100
2411,休斯顿火箭,2018-03-24,胜,主,鹈鹕91-114火箭,48.4%,45,93,38.3%,18,47,75.0%,6,8,48,5,43,22,10,8,19,17,114
2412,休斯顿火箭,2018-03-25,胜,主,老鹰99-118火箭,48.9%,44,90,38.5%,20,52,90.9%,10,11,45,6,39,28,7,4,11,12,118
2413,休斯顿火箭,2018-03-27,胜,主,公牛86-118火箭,44.1%,41,93,31.6%,18,57,85.7%,18,21,46,9,37,28,15,6,10,12,118
2414,休斯顿火箭,2018-03-30,胜,主,太阳103-104火箭,43.2%,35,81,36.8%,14,38,69.0%,20,29,39,8,31,22,9,7,10,12,104
2415,休斯顿火箭,2018-04-01,负,客,马刺100-83火箭,33.8%,26,77,22.6%,7,31,82.8%,24,29,42,8,34,12,3,3,9,19,83
2416,休斯顿火箭,2018-04-03,胜,主,奇才104-120火箭,51.2%,43,84,34.8%,16,46,66.7%,18,27,46,10,36,26,13,3,9,14,120
2417,休斯顿火箭,2018-04-05,胜,主,开拓者94-96火箭,46.6%,34,73,35.1%,13,37,62.5%,15,24,38,6,32,16,10,5,15,16,96
2418,休斯顿火箭,2018-04-07,负,主,雷霆108-102火箭,47.4%,36,76,37.8%,14,37,69.6%,16,23,41,6,35,23,7,6,17,24,102
2419,休斯顿火箭,2018-04-10,胜,客,湖人99-105火箭,42.0%,37,88,34.0%,16,47,93.8%,15,16,49,8,41,19,9,5,18,19,105
2420,休斯顿火箭,2018-04-11,负,客,国王96-83火箭,37.8%,31,82,28.3%,13,46,66.7%,8,12,40,8,32,11,2,6,14,24,83
2421,休斯顿火箭,2018-04-15,胜,主,森林狼101-104火箭,47.0%,39,83,27.0%,10,37,69.6%,16,23,37,8,29,15,8,8,11,19,104
2422,休斯顿火箭,2018-04-18,胜,主,森林狼82-102火箭,36.5%,35,96,30.8%,16,52,76.2%,16,21,54,12,42,22,8,9,9,17,102
