" ",球队,时间,果,场,比赛,投篮,命中,出手,三分,命中,出手,罚球,命中,出手,篮板,前场,后场,助攻,抢断,盖帽,失误,犯规,得分
2551,丹佛掘金,2018-01-03,胜,主,太阳111-134掘金,62.2%,51,82,44.4%,12,27,90.9%,20,22,48,8,40,35,8,9,20,16,134
2552,丹佛掘金,2018-01-05,胜,主,爵士91-99掘金,44.2%,38,86,40.0%,14,35,56.3%,9,16,37,4,33,24,9,1,10,11,99
2553,丹佛掘金,2018-01-06,负,客,国王106-98掘金,46.1%,35,76,38.2%,13,34,71.4%,15,21,46,8,38,20,2,6,25,17,98
2554,丹佛掘金,2018-01-08,负,客,勇士124-114掘金,49.5%,47,95,42.1%,8,19,75.0%,12,16,39,13,26,30,8,3,11,16,114
2555,丹佛掘金,2018-01-10,负,主,老鹰110-97掘金,40.0%,38,95,24.3%,9,37,60.0%,12,20,40,14,26,27,13,6,12,18,97
2556,丹佛掘金,2018-01-12,胜,主,灰熊78-87掘金,38.6%,27,70,31.8%,7,22,81.3%,26,32,47,12,35,15,8,3,14,18,87
2557,丹佛掘金,2018-01-13,负,客,马刺112-80掘金,34.9%,29,83,25.0%,7,28,88.2%,15,17,41,11,30,18,9,3,14,16,80
2558,丹佛掘金,2018-01-16,胜,主,独行侠102-105掘金,46.5%,40,86,30.8%,8,26,65.4%,17,26,47,15,32,23,10,3,18,23,105
2559,丹佛掘金,2018-01-17,负,客,快船109-104掘金,43.3%,42,97,20.0%,5,25,83.3%,15,18,54,20,34,23,13,7,19,25,104
2560,丹佛掘金,2018-01-19,负,主,太阳108-100掘金,44.9%,35,78,38.9%,14,36,76.2%,16,21,42,7,35,23,7,5,16,20,100
2561,丹佛掘金,2018-01-22,胜,主,开拓者101-104掘金,41.0%,34,83,33.3%,10,30,78.8%,26,33,49,14,35,23,7,8,15,20,104
2562,丹佛掘金,2018-01-25,胜,主,尼克斯118-130掘金,60.0%,48,80,50.0%,14,28,83.3%,20,24,32,2,30,36,3,2,13,20,130
2563,丹佛掘金,2018-01-27,胜,主,独行侠89-91掘金,42.0%,34,81,36.4%,12,33,73.3%,11,15,53,9,44,23,6,8,14,21,91
2564,丹佛掘金,2018-01-29,负,主,凯尔特111-110掘金,45.2%,42,93,30.3%,10,33,76.2%,16,21,47,15,32,31,4,3,10,14,110
2565,丹佛掘金,2018-01-30,负,客,马刺106-104掘金,46.5%,40,86,43.5%,10,23,100.0%,14,14,38,10,28,22,11,6,13,14,104
2566,丹佛掘金,2018-02-01,胜,主,雷霆124-127掘金,51.5%,50,97,39.5%,15,38,70.6%,12,17,43,9,34,32,3,10,11,17,127
2567,丹佛掘金,2018-02-03,胜,主,勇士108-115掘金,42.9%,39,91,41.4%,12,29,86.2%,25,29,48,16,32,28,7,0,15,17,115
2568,丹佛掘金,2018-02-05,胜,主,黄蜂104-121掘金,56.8%,46,81,52.9%,18,34,84.6%,11,13,41,5,36,30,10,2,11,15,121
2569,丹佛掘金,2018-02-09,负,客,火箭130-104掘金,47.7%,42,88,10.7%,3,28,81.0%,17,21,39,7,32,25,7,2,10,20,104
2570,丹佛掘金,2018-02-10,胜,客,太阳113-123掘金,51.1%,45,88,44.8%,13,29,90.9%,20,22,37,6,31,20,10,5,13,23,123
2571,丹佛掘金,2018-02-13,胜,主,马刺109-117掘金,49.5%,46,93,31.3%,10,32,83.3%,15,18,35,11,24,29,10,3,11,18,117
2572,丹佛掘金,2018-02-15,胜,客,雄鹿123-134掘金,55.3%,47,85,60.0%,24,40,80.0%,16,20,34,8,26,37,9,6,18,23,134
2573,丹佛掘金,2018-02-23,胜,主,马刺119-122掘金,49.5%,48,97,37.5%,12,32,73.7%,14,19,52,18,34,33,5,3,11,27,122
2574,丹佛掘金,2018-02-25,负,主,火箭119-114掘金,48.4%,44,91,34.5%,10,29,66.7%,16,24,36,12,24,33,13,6,13,27,114
2575,丹佛掘金,2018-02-27,负,主,快船122-120掘金,49.4%,43,87,32.3%,10,31,80.0%,24,30,41,11,30,27,11,7,20,27,120
2576,丹佛掘金,2018-03-02,胜,客,灰熊102-108掘金,54.8%,40,73,27.3%,6,22,84.6%,22,26,37,6,31,18,17,3,22,22,108
2577,丹佛掘金,2018-03-03,胜,客,骑士117-126掘金,54.7%,47,86,54.3%,19,35,86.7%,13,15,35,6,29,35,4,3,9,19,126
2578,丹佛掘金,2018-03-06,负,客,独行侠118-107掘金,41.3%,38,92,30.6%,11,36,76.9%,20,26,49,11,38,23,5,8,14,16,107
2579,丹佛掘金,2018-03-07,负,主,骑士113-108掘金,48.8%,42,86,37.0%,10,27,77.8%,14,18,51,14,37,22,7,2,21,16,108
2580,丹佛掘金,2018-03-09,胜,主,湖人116-125掘金,50.6%,42,83,48.4%,15,31,86.7%,26,30,36,7,29,30,10,6,12,16,125
2581,丹佛掘金,2018-03-11,胜,主,国王104-130掘金,56.2%,50,89,40.5%,15,37,71.4%,15,21,51,8,43,38,2,4,7,17,130
2582,丹佛掘金,2018-03-13,负,客,湖人112-103掘金,44.2%,38,86,32.5%,13,40,73.7%,14,19,44,5,39,26,12,4,19,26,103
2583,丹佛掘金,2018-03-15,胜,主,活塞113-120掘金,50.6%,43,85,42.9%,12,28,78.6%,22,28,45,10,35,26,7,8,15,15,120
2584,丹佛掘金,2018-03-17,负,客,灰熊101-94掘金,36.8%,32,87,27.3%,9,33,72.4%,21,29,48,17,31,17,11,5,7,25,94
2585,丹佛掘金,2018-03-19,负,客,热火149-141掘金,46.0%,46,100,47.4%,18,38,83.8%,31,37,46,11,35,23,10,5,13,25,141
2586,丹佛掘金,2018-03-21,胜,客,公牛102-135掘金,61.4%,51,83,57.1%,20,35,81.3%,13,16,45,8,37,34,9,6,17,13,135
2587,丹佛掘金,2018-03-23,胜,客,奇才100-108掘金,43.5%,37,85,50.0%,17,34,94.4%,17,18,38,7,31,25,5,10,10,16,108
2588,丹佛掘金,2018-03-26,负,客," 76人123-104掘金",42.4%,36,85,34.4%,11,32,61.8%,21,34,37,9,28,27,10,7,14,21,104
2589,丹佛掘金,2018-03-27,负,客,猛龙114-110掘金,47.2%,42,89,43.3%,13,30,92.9%,13,14,40,10,30,26,6,6,11,16,110
2590,丹佛掘金,2018-03-30,胜,客,雷霆125-126掘金,52.1%,49,94,33.3%,10,30,85.7%,18,21,58,12,46,27,4,5,15,24,126
2591,丹佛掘金,2018-04-01,胜,主,雄鹿125-128掘金,44.4%,40,90,30.6%,11,36,80.4%,37,46,57,17,40,27,2,8,17,23,128
2592,丹佛掘金,2018-04-03,胜,主,步行者104-107掘金,46.1%,41,89,31.3%,10,32,75.0%,15,20,49,13,36,31,10,8,16,19,107
2593,丹佛掘金,2018-04-05,胜,主,森林狼96-100掘金,39.3%,35,89,30.6%,11,36,86.4%,19,22,47,13,34,21,3,7,10,17,100
2594,丹佛掘金,2018-04-07,胜,客,快船115-134掘金,62.4%,53,85,41.4%,12,29,69.6%,16,23,33,7,26,36,4,6,7,26,134
2595,丹佛掘金,2018-04-09,胜,主,开拓者82-88掘金,37.3%,31,83,23.1%,6,26,76.9%,20,26,52,10,42,22,7,5,12,18,88
2596,丹佛掘金,2018-04-11,负,客,森林狼112-106掘金,45.6%,41,90,40.6%,13,32,61.1%,11,18,47,10,37,19,4,4,12,22,106
