win,lose,probability
Cleveland Cavaliers,Boston Celtics,0.5073806578401955
Houston Rockets,Golden State Warriors,0.5057990051968035
Cleveland Cavaliers,Boston Celtics,0.5
Golden State Warriors,Houston Rockets,0.5
Cleveland Cavaliers,Boston Celtics,0.5
Golden State Warriors,Houston Rockets,0.5
Boston Celtics,Cleveland Cavaliers,0.5
Houston Rockets,Golden State Warriors,0.5
Cleveland Cavaliers,Boston Celtics,0.5
Golden State Warriors,Houston Rockets,0.5
Boston Celtics,Cleveland Cavaliers,0.5
Houston Rockets,Golden State Warriors,0.5
